OBJECTID,BusinessID,Unit,House,Street,PostalCode,BusinessName,BusinessType,BusinessSubType,IssueDate,LicenceCategory,WebsiteAddress,Phone1,Phone1Description,Keywords,SHAPE,geometry,lon,lat,BusinessDescription
2883,00440903,,20164,123A AVE,,JENT CONSTRUCTION LTD,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),2021-12-06,HOME BASED,,604 465 4534,Work,,,POINT (-122.66256694271175 49.227023334687296),-122.66256694271175,49.227023334687296,HAIR SALON
2884,00435213,2,23638,RIVER RD,V2W 1B7,HARWOOD LUMBER LTD,MANUFACTURING,WOOD PRODUCTS,2021-12-22,COMMERCIAL,,604 463 2089,Work,,,POINT (-122.56711805842635 49.18507259509356),-122.56711805842635,49.18507259509356,RMT
2885,00458568,7,22935,LOUGHEED HWY,V2X 2W1,5678 DANCE CENTRE,"ARTS, ENTERTAINMENT  & ASSEMBLY CENTRE",DANCE STUDIO,2021-12-07,COMMERCIAL,,,Work,,,POINT (-122.58608968017165 49.21297394292419),-122.58608968017165,49.21297394292419,COMPUTER SUPPORT - E-COMMERCE WEBSITE (CAT KARMA CREATIONS)
2887,00458872,310,12040,222 ST,,INFRAPRO CONSTRUCTION SOLUTIONS,HOME & INDUSTRY SERVICES,INSPECTION SERVICE,,HOME BASED,WWW.INFRAPROCS.COM,604 220 1602,Work,,,POINT (-122.60645426120375 49.22123777902251),-122.60645426120375,49.22123777902251,PROFESSIONAL COUNSELLING
2888,00435070,,24325,101A AVE,V2W 0A7,WENDY D WHITTER NOTARY CORPORATION,LEGAL SERVICES,NOTARY PUBLIC,2021-12-23,HOME BASED,,604 467 5313,Work,,,POINT (-122.54817879095658 49.18690153746417),-122.54817879095658,49.18690153746417,SELLING INDIAN WOMAN CLOTHES
2889,00456312,203,22320,LOUGHEED HWY,V2X 2T4,MEESCAN INC,COMPUTER & TECHNOLOGY SERVICES,SOFTWARE DEVELOPMENT,2021-12-07,COMMERCIAL,,604 800 8122,Work,,,POINT (-122.60372342205471 49.21659844972469),-122.60372342205471,49.21659844972469,TAX PREPARATION
2890,00439571,,23697,128 AVE,V4R 1P9,DAVISON HEATING & A/C,CONTRACTOR,GAS,2021-12-15,HOME BASED,davisonheating.ca,604 753 7890,Work,,,POINT (-122.56554224946117 49.235075509325114),-122.56554224946117,49.235075509325114,SELLING FIREWOOD
2891,00436503,,21180,STONEHOUSE AVE,V2X 8X9,LITTLE STAR,COMMUNITY CARE,CHILD CARE - FAMILY DAYCARE,2021-12-14,HOME BASED,,604 781 6741,Work,,,POINT (-122.6338014368958 49.225231941901704),-122.6338014368958,49.225231941901704,FAST FOOD RESTAURANT
2892,00434101,,11924,207 ST,V2X 1X7,JOHNSTON MEIER INSURANCE AGENCIES GROUP,FINANCIAL & INSTITUTIONAL SERVICES,INSURANCE AGENT/BROKER,2022-01-07,COMMERCIAL,,604 467 5111,Work,,,POINT (-122.64678558073655 49.21957977150941),-122.64678558073655,49.21957977150941,HEAT & FROST INSULATOR SERVICES
2894,00435155,,11968,WICKLOW WAY,V2X 3A9,MICHAEL DESJARDINS ACTION IMAGES PHOTOGRAPHY,PHOTOGRAPHY & FILM,COMMERCIAL PHOTOGRAPHER,2021-12-30,HOME BASED,,604 463 4242,Work,,,POINT (-122.61610889673705 49.21994195657492),-122.61610889673705,49.21994195657492,NON-PROFIT SOCIETY - RECYCLING DEPOT
2895,00434512,660,20395,LOUGHEED HWY,V2X 2P9,WESTGATE DENTAL CENTRE,PROFESSIONAL SERVICES,DENTIST,2021-12-08,COMMERCIAL,,604 460 0206,Work,,,POINT (-122.6556634807823 49.21971460895273),-122.6556634807823,49.21971460895273,SECURITY
2896,00432284,,10188,240 ST,V2W 1G2,PAWS AND CLAWS GROOMING SALON,ANIMAL SERVICES,GROOMER,2022-02-01,HOME BASED,,604 466 5634,Work,,,POINT (-122.55647149573288 49.187301918973574),-122.55647149573288,49.187301918973574,SECURITY PATROL  **TECHNICAL SAFETY CONTRACTOR LICENCE EXPIRED 2020**
2897,00457577,105,20285,STEWART CRES,V2X 8G1,DKD VEHICLE WASH SUPPLIES,WHOLESALE & DISTRIBUTION,UNCLASSIFIED WHOLESALE,2021-12-07,COMMERCIAL,,,Work,,,,,,GEOTHERMAL INSTALLATION
2898,00433639,,28102,DEWDNEY TRUNK RD,V2W 1M1,WHONNOCK ROOFING LTD,CONTRACTORS,ROOFING,2021-12-29,HOME BASED,,604 462 7638,Work,,,POINT (-122.4428010345591 49.2183579570661),-122.4428010345591,49.2183579570661,EXCAVATING CONSTRUCTION
2899,00436159,,12082,238 ST,V4R 4X4,DIGICOM WEBDESIGN,COMPUTER & TECHNOLOGY SERVICES,WEB DESIGN,2022-02-08,HOME BASED,,604 467 1738,Work,,,POINT (-122.56222950240998 49.22239372059879),-122.56222950240998,49.22239372059879,HAIRDRESSER - CHAIR RENTAL
2900,00435887,,10655,268 ST,V2W 1M8,J.M. TRUCKING & WELDING,TRANSPORT GOODS & SERVICES,TRUCKING,,HOME BASED,,604 462 7191,Work,,,POINT (-122.48166808511935 49.19587369220534),-122.48166808511935,49.19587369220534,PAINTING & PRESSURE WASHING
2901,00434490,,22363,119 AVE,V2X 2Z2,MAPLE RIDGE DENTAL CENTRE,PROFESSIONAL SERVICES,DENTIST,2021-12-06,COMMERCIAL,,604 463 2536,Work,,,POINT (-122.60270728496022 49.21884372031117),-122.60270728496022,49.21884372031117,"RESTAURANT    OCCUPANT LOAD =92 (STAFF = 15, PATRONS = 77)"
2902,00439585,,23635,119 AVE,V4R 2E1,FIRST CHOICE DAYCARE,COMMUNITY CARE,CHILD CARE - FAMILY DAYCARE,2022-01-14,HOME BASED,,604 780 5527,Work,,,POINT (-122.56717867055255 49.218720167349964),-122.56717867055255,49.218720167349964,B&B - 1 ROOM
2903,00458226,308,14301,256 ST,,PACIFIC STAR MARINE INC,TRANSPORT GOODS & SERVICES,UNCLASSIFIED TRANSPORTATION SERVICE,2021-12-14,COMMERCIAL,,604 220 9824,Work,,,,,,PET CARE - MOBILE
2905,00433479,,20138,DITTON ST,V2X 9H4,STAN AIR,CONTRACTORS,UNCLASSIFIED CONTRACTOR,2022-01-01,HOME BASED,,778 791 8040,Work,,,POINT (-122.66216342972322 49.20337754286848),-122.66216342972322,49.20337754286848,DAYCARE
2907,00451735,177,11900,HANEY PL,V2X 8R9,NEW TOUCH WIRELESS DBA FREEDOM MOBILE,COMPUTER & TECHNOLOGY SERVICES,TELECOMMUNICATIONS,2022-02-11,COMMERCIAL,,604 479 5666,Work,,,POINT (-122.59908590668755 49.21810114003064),-122.59908590668755,49.21810114003064,HAIR SALON
2910,00459285,,24331,112B AVE,,ACHIEVE SUPPORT & DEVELOPMENT 2020  #1260332 BC LTD,HEALTH SERVICES,COUNSELLING,2021-12-21,HOME BASED,ACHIEVESD.CA,604 916 3975,Work,,,POINT (-122.54809068961872 49.20754137706724),-122.54809068961872,49.20754137706724,EAST EUROPEAN STORE - DELI TO GO - SPECIALTY STORE
2911,00434977,,12470,HOLLY ST,V4R 2K7,KNOTTED SAGE,HOMECRAFT,UNCLASSIFIED HOMECRAFT,2022-02-07,HOME BASED,,778 789 7849,Work,,,POINT (-122.62349141928684 49.22911842934197),-122.62349141928684,49.22911842934197,VETERINARY HOSPITAL
2912,00433669,121,22950,116 AVE,V2X 2T7,MTM ON THE LEVEL CONTRACTING,CONTRACTORS,RENOVATION/RESTORATION/HOME IMPROVEMENT,2021-12-06,HOME BASED,,604 825 8862,Work,,,POINT (-122.58692270620573 49.2114541129786),-122.58692270620573,49.2114541129786,DANCE INSTRUCTION
2913,00432121,,10255,JACKSON RD,V2W 1G5,KATIE'S PLACE CAT SHELTER,ANIMAL SERVICES,UNCLASSIFIED ANIMAL SERVICE,2021-11-17,COMMERCIAL,,604 463 7917,Work,,,POINT (-122.54138469440741 49.18904776623656),-122.54138469440741,49.18904776623656,STOCKBROKER/DEALER
2914,00434908,1A,11968,207 ST,V2X 1X7,HELLO BUBBLE,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,2021-12-30,COMMERCIAL,,778 858 5795,Work,,,POINT (-122.64678558073655 49.21957977150941),-122.64678558073655,49.21957977150941,TRAILER PARK
2917,00433118,,11790,252 ST,,LAND RENOVATORS CONTRACTORS INC,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),2021-12-21,HOME BASED,,604 477 1053,Work,,,POINT (-122.52130410723386 49.21649813995245),-122.52130410723386,49.21649813995245,COCA COLA REFRESHMENTS(MACHINES ARE LISTED ON 2010 LIC - DOCUMENTS)
2920,00436199,,22850,137 AVE,V4R 0B6,LETTS ENVIROMENTAL CONSULTANTS LTD,ENVIRONMENTAL & ECOLOGICAL,ENVIRONMENTAL CONSULTANT,2021-12-07,HOME BASED,,604 329 2972,Work,,,POINT (-122.58919418465166 49.250636543850476),-122.58919418465166,49.250636543850476,CONCRETE SCANNING
2921,00433628,,20387,CHIGWELL ST,V2X 8H4,GUTTER GUY,CONTRACTORS,SIDING/GUTTERS,2022-02-09,HOME BASED,,604 459 8058,Work,,,POINT (-122.65661197617099 49.20486660346649),-122.65661197617099,49.20486660346649,"GAS STATION, CONVENIENCE STORE & CAR WASH"
2922,00435823,107,11517,KINGSTON ST,V2X 0Z5,UNIFIED TRAINING CENTRE,SPORTS & RECREATION CENTRE,FITNESS CENTRE/GYM,2021-12-03,COMMERCIAL,,604 466 1020,Work,,,POINT (-122.66655914717954 49.21188864232814),-122.66655914717954,49.21188864232814,GENERAL CONTRACTOR
2923,00434861,102,22805,LOUGHEED HWY,V2X 2V7,PAPPA LEO'S PIZZA,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,2021-12-13,COMMERCIAL,,604 467 7800,Work,,,POINT (-122.58972159640936 49.21615097963695),-122.58972159640936,49.21615097963695,VENEER MANUFACTURING
2924,00433112,,11596,238A ST,V2W 2A9,NORQUEST HOMES LTD,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),,HOME BASED,,604 466 3334,Work,,,POINT (-122.56115789396124 49.21300075773825),-122.56115789396124,49.21300075773825,DEVELOPER / CONTRACTOR BUILDING (GENERAL CONTRACTOR)
2925,00433234,,11520,KINGSTON ST,V2X 9J8,LUSO CONCRETE LTD & LUSO CONCRETE (2007) LTD,CONTRACTORS,CONCRETE - POUR/FINISH/FORM/REINFORCE,,COMMERCIAL,,604 465 1347,Work,,,POINT (-122.66526981534933 49.21209478536851),-122.66526981534933,49.21209478536851,"DANCE INSTRUCTION - ALL AGES - JAZZ,HIP-HOP, BALLET ETC"
2926,00432612,,20820,WICKLUND AVE,V2X 8M5,SUREFIRE GAS INSTALLATIONS,CONTRACTOR,GAS,,HOME BASED,,604 466 8333,Work,,,POINT (-122.64419371350681 49.22306412340414),-122.64419371350681,49.22306412340414,NOTARY PUBLIC
2928,00432214,,9442,SPILSBURY ST,V2W 1K8,LORI GRAHAM,BUSINESS SERVICES,ADVERTISING/MARKETING/PUBLIC RELATIONS,2021-12-06,HOME BASED,,604 880 1181,Work,,,POINT (-122.50580473620464 49.173833249912526),-122.50580473620464,49.173833249912526,ONLINE SUPPORT SERVICES FOR LIBRARIES
2929,00435374,2,11455,201A ST,V2X 0Y3,WESTERN REGAL LAND CORPORATION,REAL ESTATE,LAND DEVELOPMENT,2021-12-21,COMMERCIAL,,604 460 1668,Work,,,POINT (-122.6639032876851 49.210553377857444),-122.6639032876851,49.210553377857444,HOME BASED HEATING AND A/C
2931,00432564,,21719,121 AVE,V2X 3S7,AUTO FAST LANE,BUSINESS SERVICES,ADVERTISING/MARKETING/PUBLIC RELATIONS,2022-02-09,HOME BASED,,,Work,,,POINT (-122.61962834111175 49.22276831202474),-122.61962834111175,49.22276831202474,CHILD CARE
2932,00435558,,22366,DEWDNEY TRUNK RD,V2X 3J2,KEJA ENTERPRIZES,PERSONAL SERVICES,HAIR SALON/BARBER,2021-12-23,COMMERCIAL,,604 463 1155,Work,,,POINT (-122.60259231044257 49.22019089514042),-122.60259231044257,49.22019089514042,INSURANCE OFFICE
2933,00433230,,22900,GILBERT DR,V4R 0C4,NEW WORLD WATERPROOFING LTD.,CONTRACTORS,DAMP PROOFING,2021-12-06,HOME BASED,,778 887 6014,Work,,,POINT (-122.58533370733694 49.251935170195104),-122.58533370733694,49.251935170195104,PHOTOGRAPHY
2935,00458395,,10348,262 ST,V2W 1K4,STUDIO 33 CUSTOM UPHOLSTERY,HOME & INDUSTRY SERVICES,FURNITURE/UPHOLSTERY REPAIR,,HOME BASED,,604 308 3860,Work,,,POINT (-122.49208708383046 49.18967314246233),-122.49208708383046,49.18967314246233,DENTAL OFFICE
2936,00435074,104,11952,224 ST,,SILVER VALLEY BREWING CO. LTD,MANUFACTURING,FOOD & BEVERAGE,2022-01-10,COMMERCIAL,,604 380 1222,Work,,,,,,DOG GROOMING
2937,00436506,,20327,DALE DR,V2X 8V6,EZRA MAPLE RIDGE ENTERPRISES LTD,EDUCATION & INSTRUCTION,SUPPORT SERVICE (TUTOR),2021-12-07,HOME BASED,,604 838 5338,Work,,,POINT (-122.65722726976486 49.21598361131828),-122.65722726976486,49.21598361131828,DISTRIBUTOR - VEHICLE WAS SUPPLIES
2938,00459590,,20135,BRUCE AVE,V2X 9E1,JIM'S MOWING - GOLDEN EARS,HOME & INDUSTRY SERVICES,GARDENER/LAWN MAINTENANCE,,HOME BASED,,604 312 3474,Work,,,POINT (-122.66321508857548 49.21894418960391),-122.66321508857548,49.21894418960391,ROOFING
2939,00460630,19,11461,236 ST,,PREFERRED POWER SOLUTIONS,CONTRACTOR,ELECTRICAL,2022-02-09,HOME BASED,PREFERREDPOWER.CA,778 773 4995,Work,,,,,,WEBSITE DESIGN AND CONSULTING
2940,00435931,,12241,224 ST,,REVERA - SUNWOOD RETIREMENT COMMUNITY,RENTAL UNIT,ROOM RENTAL,2021-12-20,COMMERCIAL,,604 463 5527,Work,,,POINT (-122.60192818739334 49.22476697216387),-122.60192818739334,49.22476697216387,TRUCKING & WELDING
2941,00434127,,10155,247 ST,,WESTCAN SOLAR SALT LTD,FINANCIAL & INSTITUTIONAL SERVICES,INSURANCE AGENT/BROKER,2021-12-31,HOME BASED,,604 328 4499,Work,,,POINT (-122.53726679633188 49.18673499879117),-122.53726679633188,49.18673499879117,DENTAL CLINIC 1 PROFESSIONAL - DR IIMURO
2942,00437858,,11919,224 ST,V2X 6B2,1119898 BC LTD DBA MEDICINE SHOPPE PHARMACY #373,HEALTH RETAIL,PHARMACY,2021-12-07,COMMERCIAL,,604 854 5800,Work,,,POINT (-122.6021375193821 49.218930043665125),-122.6021375193821,49.218930043665125,CHILD CARE
2944,00432523,200,22674,DEWDNEY TRUNK RD,V2X 3J9,MYDESK,BUSINESS SERVICES,OFFICE/BUSINESS SERVICE,2022-02-14,COMMERCIAL,,778 686 7653,Work,,,POINT (-122.59452950704802 49.22021100659902),-122.59452950704802,49.22021100659902,MARINE THRUSTER REPAIR - STORAGE
2945,00457944,200,22720,DEWDNEY TRUNK RD,V2X 3K2,ASD WONDER CENTRE INC,EDUCATION & INSTRUCTION,UNCLASSIFIED EDUCATION & INSTRUCTION,2021-12-17,COMMERCIAL,,604 341 5774,Work,,,POINT (-122.59285813546889 49.21969134552327),-122.59285813546889,49.21969134552327,HVAC & REFRIGERATION SERVICE
2946,00432163,,20852,STONEY AVE,V2X 7T1,NO 1 COLOUR IN MOTION,AUTOMOTIVE,AUTO PAINT & BODY,2021-12-08,HOME BASED,,604 258 8554,Work,,,POINT (-122.64298499618309 49.21310425072586),-122.64298499618309,49.21310425072586,CELL PHONE RETAIL
2947,00434325,B,22195,DEWDNEY TRUNK RD,V2X 3H7,DEWDNEY MEDICAL GROUP,PROFESSIONAL SERVICES,PHYSICIAN,2022-01-29,COMMERCIAL,,604 463 4102,Work,,,POINT (-122.60740042570691 49.220807168793414),-122.60740042570691,49.220807168793414,PROVIDE INTERVENTION SERVICES FOR CHILDREN DIAGNOSED WITH AUTISM
2948,00459799,,21759,117 AVE,V2X 2J6,KATECH ELECTRIC,CONTRACTOR,ELECTRICAL,,HOME BASED,,604 603 5545,Work,,,POINT (-122.6189633576355 49.21550146122884),-122.6189633576355,49.21550146122884,PERSONALIZED GIFTS - VINYL DECALS AND DECOR
2949,00435174,,20130,115A AVE,V2X 0Z4,J A W FABRICATORS CO LTD,MANUFACTURING,METAL,2021-12-07,COMMERCIAL,,604 465 0204,Work,,,POINT (-122.66388589650968 49.21145535160427),-122.66388589650968,49.21145535160427,RENOVATIONS & PROPERTY MANAGEMENT
2950,00432398,201,20285,STEWART CRES,V2X 8G1,MI PETRO MAINTENANCE INC,WHOLESALE & DISTRIBUTION,MACHINERY & EQUIPMENT,2022-01-07,COMMERCIAL,,604 460 9169,Work,,,,,,NON PROFIT CAT SOCIETY
2953,00459230,300,22420,DEWDNEY TRUNK RD,V2X 8H7,ESPRICHOO PUBLISHING LIMITED,PUBLISHER,BOOKS,,COMMERCIAL,,301 800 0938,Work,,,POINT (-122.60080799697191 49.21998759255013),-122.60080799697191,49.21998759255013,CAFE
2954,00432340,,11366,236A ST,V2W 2A3,GREENCITY PLANNING SERVICES,BUSINESS SERVICES,CONSULTING SERVICE,2021-12-27,HOME BASED,,778 872 4525,Work,,,POINT (-122.56652750623705 49.20884903655642),-122.56652750623705,49.20884903655642,"CONSULTING - PROMOTING NEW PRODUCTS TO MARKET, BUSINESS DEVELOPMENT ETC"
2955,00432157,4,20726,LOUGHEED HWY,V2X 2R1,SCANDIA MOTORS LTD,AUTOMOTIVE,AUTO/BOATS/RV/MOTORCYCLE REPAIR & SERVICE,2021-12-09,COMMERCIAL,,604 467 4817,Work,,,POINT (-122.64710593497642 49.217729576603524),-122.64710593497642,49.217729576603524,"RESIDENTIAL, COMMERCIAL CONTRACTORS"
2956,00434884,,13500,256 ST,V3R 1C9,EMBERS CAFE,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,2022-02-07,COMMERCIAL,,778 242 3357,Work,,,POINT (-122.50509520933164 49.2460660039724),-122.50509520933164,49.2460660039724,ENVIRONMENTAL CONSULTING SERVICES
2957,00459723,,21393,THORNTON AVE,V4R 2J6,I SAW THE SIGN LAWN DECOR RENTALS,RENTAL SERVICE,"RENTAL SERVICE, STORES, YARDS",2021-12-20,HOME BASED,,604 619 5735,Work,,,POINT (-122.62834487182036 49.23233115972875),-122.62834487182036,49.23233115972875,GUTTER CLEANING & REPAIR
2958,00435254,,23370,MCKAY AVE,V2W 1B9,PROLINK SUPPLY LTD,MANUFACTURING,UNCLASSIFIED MANUFACTURING,2021-12-13,COMMERCIAL,,604 466 8839,Work,,,POINT (-122.57357636057867 49.1909119172095),-122.57357636057867,49.1909119172095,MARTIAL ARTS
2959,00433336,,12263,256 ST,V4R 1B5,ELLASON ENTERPRISES INC  DBA ELLASON SIGNATURE HOMES,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),2021-12-09,HOME BASED,,604 328 6273,Work,,,POINT (-122.51314548254078 49.22539784305366),-122.51314548254078,49.22539784305366,PIZZARIA
2960,00440004,,25240,110 AVE,,RIDGE DREAM HOMES,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),,HOME BASED,,604 868 1395,Work,,,POINT (-122.52227182307135 49.201669029626935),-122.52227182307135,49.201669029626935,NEW HOME CONSTRUCTION
2961,00434309,104,11893,227 ST,,MAPLE MEADOWS DENTAL,PROFESSIONAL SERVICES,DENTIST,2021-12-31,COMMERCIAL,,604 463 5181,Work,,,POINT (-122.59444349239469 49.218584473904826),-122.59444349239469,49.218584473904826,"CONCRETE PUMPING, PLACING & FINISHING (NOT A PRODUCTION FACILITY)"
2962,00438811,216,12170,222 ST,V2X 8H1,ZELDA'S DOGGIE WORLD,ANIMAL SERVICES,GROOMER,2021-12-21,HOME BASED,,604 467 1755,Work,,,POINT (-122.60625615838563 49.2236748470631),-122.60625615838563,49.2236748470631,GAS FITTERS
2963,00430072,,22378,LOUGHEED HWY,V2X 6A5,FOXY NAIL & HAIR SALON,PERSONAL SERVICES,SPA SERVICES,2022-01-06,COMMERCIAL,,,Work,,,POINT (-122.60204191967529 49.21660085634277),-122.60204191967529,49.21660085634277,MOBILE FLOWER SHOP
2964,00432637,,12090,216 ST,V2X 5J3,UNGER ELECTRIC LTD,CONTRACTOR,ELECTRICAL,2021-12-13,HOME BASED,,604 467 0204,Work,,,POINT (-122.62184426783422 49.22231135015027),-122.62184426783422,49.22231135015027,ADVERTISING/MARKETING/PR
2965,00436263,,28209,96 AVE,V2W 1L4,BIG MIKE'S FUN FARM,COMMUNITY CARE,CHILD CARE - FAMILY DAYCARE,2022-01-04,HOME BASED,,604 818 3276,Work,,,POINT (-122.44049349228798 49.17852712223564),-122.44049349228798,49.17852712223564,BUILDING & DEVELOPMENT
2967,00434602,9,11600,COTTONWOOD DR,V2X 3N9,LBENZ CLEANING SERVICES,HOME & INDUSTRY SERVICES,JANITOR/HOUSEKEEPING,,HOME BASED,,778 835 0128,Work,,,POINT (-122.5747139183448 49.21353835099056),-122.5747139183448,49.21353835099056,ONLINE MARKETING FOR AUTOMOTIVE INDUSTRY
2968,00448491,104,11952,224 ST,,SILVER VALLEY BREWING CO. LTD,FOOD & BEVERAGE RETAIL,LIQUOR RETAIL STORE,2021-12-29,COMMERCIAL,,604 380 1222,Work,,,,,,HAIRDRESSING - CHAIR RENTAL
2969,00434897,,11918,BRUCE PL,V2X 9E1,FLOWERS BY JOY,HOMECRAFT,FLORAL,2022-02-01,HOME BASED,,604 465 4926,Work,,,POINT (-122.66156268109667 49.21923540874652),-122.66156268109667,49.21923540874652,DAMP PROOFINGWATERPROOFING BELOW GRADE CONCRETE FOUNDATIONS
2970,00435253,,12522,230 ST,V2X 0X2,HARLEY CROSS PHOTOGRAPHY,PHOTOGRAPHY & FILM,PORTRAIT PHOTOGRAPHER,,HOME BASED,,604 518 9179,Work,,,POINT (-122.58457430295242 49.22946217165374),-122.58457430295242,49.22946217165374,SMALL FURNITURE UPHOLSTERY
2971,00434132,,24402,112 AVE,,M.S. KAHN BUSINESS SERVICES LTD,FINANCIAL & INSTITUTIONAL SERVICES,ACCOUNTANT,2021-12-08,HOME BASED,,604 467 4418,Work,,,POINT (-122.54620861609635 49.20545722106587),-122.54620861609635,49.20545722106587,CRAFT BREWERY WITH LOUNGETOTAL OCCUPANT LOAD 40PATRON  35EMPLOYEE 5
2972,00460480,5,20214,LOUGHEED HWY,V2X 2P7,AARS AUTOMAX SALES & SERVICES,AUTOMOTIVE,AUTO/BOATS/RV/MOTORCYCLE REPAIR & SERVICE,2021-12-07,COMMERCIAL,,604 762 0437,Work,,,POINT (-122.66142486770731 49.219693106510164),-122.66142486770731,49.219693106510164,TUTORING BUSINESS
2973,00434489,106,22378,132 AVE,V4R 2P6,GOLDEN EARS GENERAL STORE,FOOD & BEVERAGE RETAIL,CONVENIENCE STORE,,COMMERCIAL,,604 380 1135,Work,,,POINT (-122.60157650647247 49.241846272728544),-122.60157650647247,49.241846272728544,LAWN & GARDEN CARE
2975,00445041,5,20468,LOUGHEED HWY,V2X 2P8,THE LEARNING LADDER CHILDREN'S CENTRE INC,COMMUNITY CARE,CHILD CARE - GROUP CHILD CARE CENTRE,,COMMERCIAL,,604 807 8372,Work,,,POINT (-122.65443681041583 49.21837508658581),-122.65443681041583,49.21837508658581,ELECTRICAL CONTRACTING COMPANY
2976,00436002,,22141,119 AVE,V2X 2Y7,MAPLE RIDGE SENIORS VILLAGE,RENTAL UNIT,ROOM RENTAL,2021-12-21,COMMERCIAL,,604 466 3053,Work,,,,,,1 DAY/WK POCKET FARM MARKET IN THE COMMUNITY GARDEN PAVILLION
2977,00433658,,22710,BALABANIAN CIR,V2X 9C3,M & R CUSTOM INTERIORS,CONTRACTORS,RENOVATION/RESTORATION/HOME IMPROVEMENT,2022-01-20,HOME BASED,,778 686 4739,Work,,,POINT (-122.59258736786413 49.23117344736115),-122.59258736786413,49.23117344736115,FLOOR INSTALLATION & REPAIR
2978,00458479,300,20201,LOUGHEED HWY,V2X 2P6,PARESH VAKIL DBA SHREEJI TICKET CENTER,RETAIL,LOTTERY,2021-12-07,COMMERCIAL,,,Work,,,POINT (-122.66086218624926 49.22077488423696),-122.66086218624926,49.22077488423696,SENIOR RESIDENCE
2979,00435357,100,11882,226 ST,,PLATINUM GLOW TANNING INC,PERSONAL SERVICES,TANNING SALON,2021-12-07,COMMERCIAL,,604 380 0626,Work,,,POINT (-122.59582889344071 49.21862153109719),-122.59582889344071,49.21862153109719,SALT BROKER
2980,00444606,,11699,CARR ST,V2X 5N1,EQUITY PLUS HOME IMPROVEMENTS LTD,HOME & INDUSTRY SERVICES,GARBAGE/RUBBISH/SANITATION SERVICE,,HOME BASED,,604 499 1333,Work,,,POINT (-122.61716329680009 49.21511797436392),-122.61716329680009,49.21511797436392,PHARMACY
2981,00435529,,28235,96 AVE,V2W 1L2,KATHY'S MOBILE,PERSONAL SERVICES,HAIR SALON/BARBER,,HOME BASED,,604 788 8763,Work,,,POINT (-122.439804048467 49.17851063495839),-122.439804048467,49.17851063495839,OFFICE SPACE RENTAL - CO-WORKING
2982,00435618,210,20398,DEWDNEY TRUNK RD,V2X 3E3,WESTGATE FLOWER GARDEN,RETAIL,FLORIST,2022-01-25,COMMERCIAL,,604 460 7230,Work,,,POINT (-122.6554331690206 49.220809554532394),-122.6554331690206,49.220809554532394,CHILDREN'S THERAPY CENTRE: AUTISM
2984,00435133,101,11743,224 ST,V2X 6A4,LIFELABS BC LP,HEALTH SERVICES,MEDICAL/DIAGNOSTIC LABORATORY,,COMMERCIAL,,604 467 5141,Work,,,POINT (-122.60207340744034 49.21573689787761),-122.60207340744034,49.21573689787761,MOBILE AUTO PAINTING & REPAIR
2985,00434297,102,22337,LOUGHEED HWY,V2X 2T3,DR. CHRISTOPHER CHAN,PROFESSIONAL SERVICES,DENTIST,2021-12-08,COMMERCIAL,,604 467 6607,Work,,,POINT (-122.6034607930143 49.21712670103727),-122.6034607930143,49.21712670103727,"GROUP MEDICAL PRACTICE: DR'S:  CONNOR, HATLELID, KOK. PERRY, DE CLERK DUGDALE, ROBSON"
2986,00458453,,22618,LOUGHEED HWY,,HAIR BY KATIE WILSON,PERSONAL SERVICES,HAIR SALON/BARBER,2022-02-07,COMMERCIAL,,604 380 2293,Work,,,POINT (-122.59587002208889 49.216864788789465),-122.59587002208889,49.216864788789465,STEEL FABRICATION
2987,00434029,,24008,MCCLURE DR,V2W 1Z3,PANORAMA RIDGE CONSTRUCTION,CONTRACTORS,RENOVATION/RESTORATION/HOME IMPROVEMENT,,HOME BASED,,604 218 5244,Work,,,POINT (-122.55622388296005 49.19644417675185),-122.55622388296005,49.19644417675185,SERVICE GAS STATION EQUIPMENT
2988,00460172,,10591,245B ST,V2W 1G5,HEAVY ARTILLERY WELDING LTD,CONTRACTORS,WELDING,2022-01-13,HOME BASED,WWW.HEAVYARTILLERYWELDING.CA,778 320 8911,Work,,,POINT (-122.54124307899919 49.194626650904425),-122.54124307899919,49.194626650904425,"PUBLICATION OF CONTENT, BOOKS, AUDIOBOOKS & ARTICLES"
2990,00435708,,21698,LOUGHEED HWY,V2X 2S1,MAPLE RIDGE MOTEL & TRAILER COURT (MOTEL),RENTAL UNIT,MOTEL,2021-12-03,COMMERCIAL,,604 467 3844,Work,,,POINT (-122.62043198131268 49.21615187621161),-122.62043198131268,49.21615187621161,PLANNING CONSULTING
2992,00455153,340,22709,LOUGHEED HWY,V2X 2V5,VIENNY NAILS AND SPA,PERSONAL SERVICES,SPA SERVICES,2021-12-14,COMMERCIAL,,6044638449,Work,,,POINT (-122.5918915421036 49.21762737861612),-122.5918915421036,49.21762737861612,AUTOMOTIVE REPAIR SPECIALIZING IN VOLVOS
