"entreprise","no_civique","rue_local","code_postal","entreprise_tel","scian_principal"
"ANIMALERIE PACHA",340,"Rue Belvédère Sud","J1H 4B5","819 346-0666","Animaleries Et Magasins De Fournitures Pour Animaux"
"ANIMALUXE",4710,"Boulevard Bourque","J1N 2A8","819 822-1866","Animaleries Et Magasins De Fournitures Pour Animaux"
"ANIMATION CENTRE VILLE (THÉÂTRE GRANADA)",51,"Rue Wellington Nord","J1H 5A9","819 565-5656","Organisations Civiques Et Amicales"
"ANN-LY COIFFURE",1325,"Rue des Immortelles","J1E 4L1","819 347-1783","Salons De Coiffure Mixtes"
"ANNE-MARIE COUTU NOTAIRE",65,"Rue Belvédère Nord","J1H 4A7","819 822-2333","Etudes De Notaires"
"ANNE-MARIE POIRIER PSYCHOLOGUE",234,"Rue Dufferin","J1H 4M2","819 943-8948","Cabinets De Praticiens En Sante Mentale, Sauf Les Medecins"
"ANNE-MARIE ROBERGE, MASSOTHÉRAPEUTE",470,"15e Avenue Sud","J1G 2X8","819 566-7999","Tous Les Autres Services Personnels"
"ANNE LAFONTAINE, PSYCHOLOGUE",1935,"Rue Prospect","J1J 4C9","819 566-0637","Cabinets De Physiotherapeutes, D'Ergotherapeutes, D'Orthophonistes Et D'Audiologistes"
"ANNICK HOUMAIRE, DENTUROLOGISTE ENR.",1650,"Boulevard de Portland","J1J 1S9","819 566-7272","Cabinets De Tous Les Autres Praticiens"
"ANNIE JEANSON PSYCHOLOGUE",44,"Rue Clark","J1J 2N2","873 200-2677","Cabinets De Praticiens En Sante Mentale, Sauf Les Medecins"
"ANNIE TURCOTTE - TATOUAGE",862,"Rue Wellington Sud","J1H 5E4",NA,"Autres Services De Soins Personnels"
"ANTIDOTE FOODLAB",35,"Rue Belvédère Nord","J1H 4A7","819 791-9117","Restaurants A Service Complet"
"ANTIQUE ELECTRO",27,"Rue de la Glacière","J1H 3P2","819 346-1192","Magasins D'Appareils Menagers, De Televiseurs Et D'Autres Appareils Electroniques"
"ANTIQUITÉ MICHEL QUINTAL",251,"Rue Croteau","J1R 0L8","819 823-9278","Magasins De Marchandises D'Occasion"
"ANTIROUILLE MÉTROPOLITAIN",4232,"Boulevard Bourque","J1N 1W7","819 829-2888","Reparation Et Entretien De La Carosserie, De La Peinture Et De L'Interieur De Vehicules Automobiles"
"APAPUS (ASSO. DU PERSONNEL ADMIN. ET PROFESSIONNEL DE L'U. DE S.)",2500,"Boulevard de l'Université","J1K 2R1","819 821-7856","Organisations Syndicales"
"APART HÔTEL URBAIN SHERBROOKE",65,"Rue Bruno-Dandenault","J1G 2J2","1 800 560-6508","Hotels"
"APCHQ RÉGION DE L'ESTRIE INC.",100,"Rue Belvédère Sud","J1H 4B5","819 563-9643","Associations De Gens D'Affaires"
"APOLLO TERRASSEMENTS",3096,"Rue du Renard-Roux","J1N 3X1","819 620-4555","Services D'Amenagement Paysager"
"APS RÉNOVATIONS",930,"Rue King Est","J1G 1E2","819 563-6877","Tous Les Autres Entrepreneurs Specialises"
"AQUA-BERGE INC.",125,"Rue Oliva-Turgeon","J1C 0R3","819 821-2163","Services De Conseils En Environnement"
"AQUA MUNDO",4117,"Rue Bertrand-Fabi","J1L 2G3","819 564-2929","Tous Les Autres Etablissements De Formation Et D'Education"
"AQUABON EAU DISTILLÉE",2194,"Rue King Ouest","J1J 2E8","819 563-9816","Grossistes-Distributeurs De Boissons Non Alcoolisees"
"ARBAULT INC.",268,"Rue Aberdeen","J1H 1W5","819 542-5600","Conception De Systemes Informatiques Et Services Connexes"
"ARBO-CULTURE CENTRE DE JARDIN",314,"Rue Queen","J1M 1K9","819 822-1151","Pepinieres Et Centres De Jardinage"
"ARBOLOG",635,"Rue Leslie","J1H 5P5","819 570-6903","Activites De Soutien Aux Cultures Agricoles"
"ARC-EN-VOIX",5863,"Chemin de Val-du-Lac","J1N 0E9","819 620-4234","Cabinets De Tous Les Autres Praticiens"
"ARCHAMBAULT",3270,"Boulevard de Portland","J1L 2A6","819 564-8255","Librairies Et Marchands De Journaux"
"ARCHI TECH DESIGN INC.",60,"Rue Wellington Nord","J1H 5B7","819 829-0707","Services D'Architecture"
"ARCHIMÈDE VÉHICULES ÉLECTRIQUES",905,"Rue King Ouest","J1H 1S3","819 933-3544","Tous Les Autres Magasins De Detail Divers, Sauf Les Magasins De Materiel Pour La Fabrication De La Biere Et Du Vin"
"ARCTUS (ASSOCIATION DES ÉTUDUDIANTS DU RELIGIEUX CONTEMPORAIN ET THÉOLOGIE DE L'UDES)",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000 poste 63613","Organisations Civiques Et Amicales"
"ARDENE (BOULEVARD DE PORTLAND)",3050,"Boulevard de Portland","J1L 1K1","819 780-8674","Magasins D'Accessoires Vestimentaires"
"ARDÈNE (GALERIES 4 SAISONS)",930,"13e Avenue Nord","J1E 3E5","819 575-8108","Magasins D'Accessoires Vestimentaires"
"ARDÈNE (RUE BELVÉDÈRE S)",340,"Rue Belvédère Sud","J1H 4B5","819 340-3076","Magasins D'Accessoires Vestimentaires"
"ARÉNA DU MONT STE-ANNE",2150,"Chemin de Sainte-Catherine","J1N 3V5","819 823-3003","Organisations Civiques Et Amicales"
"ARÉNA PHILIPPE BERGERON",50,"Rue du Docteur-Allard","J1C 0S4","819 846-4225","Centre De Sports Recreatifs Et De Conditionnement Physique"
"ARÉNA YVAN-DUGRÉ",1250,"Rue Galt Ouest","J1H 2A7","819 821-5866","Centre De Sports Recreatifs Et De Conditionnement Physique"
"ARKEL INC.",2520,"Rue Roy","J1K 1C1","819 564-3434","Centres De Soins Ambulatoires Pour Personnes Atteintes De Troubles Mentaux, D'Alcoolisme Et De Toxicomanie"
"ARMAND VAILLANCOURT POMPES INC.",3255,"Chemin Saint-Roch Sud","J1N 2Z6","819 864-4208","Reparation Et Entretien De Machines Et De Materiel  D'Usage Commercial Et Industriel"
"ARMATURES SHERBROOKE",1931,"Rue Galt Est","J1G 3H9","819 564-8455","Grossistes-Distributeurs D'Autres Fournitures Speciales De Construction"
"ARMATURIERS INC.",4866,"Boulevard Industriel","J1R 0P4","819 943-9326","Entrepreneurs En Charpente"
"ARMÉE DU SALUT",112,"Rue Wellington Sud","J1H 5C7","819 566-6298","Organisme D'Action Sociale"
"ARMOIRE FRANCOIS",185,"Chemin Godin","J1R 0S6",NA,"Fabrication D'Armoires Et De Comptoirs De Cuisine En Bois"
"ARMOIRES ST-ÉLIE",4045,"Rue Brodeur","J1L 1K4","819 452-1789","Fabrication D'Armoires Et De Comptoirs De Cuisine En Bois"
"ARMOTEC",531,"Rue Pépin","J1L 1X3","819 478-4024","Fabrication D'Armoires Et De Comptoirs De Cuisine En Bois"
"ARPENTAGE GILBERT BRETON",850,"Rue Galt Est","J1G 1Y5","819 820-8989","Services D'Arpentage Et De Cartographie, Sauf Les Leves Geophysiques"
"ARPENTAGE ST-PIERRE",4274,"Rue Manon","J1N 3T6","819 820-4161","Services D'Arpentage Et De Cartographie, Sauf Les Leves Geophysiques"
"ARPENTEURS GÉOMÈTRES MERCIER MEUNIER INC.",300,"Rue Dufferin","J1H 4M4","819 565-4973","Services D'Arpentage Et De Cartographie, Sauf Les Leves Geophysiques"
"ARRIMAGE ESTRIE",740,"Rue Galt Ouest","J1H 1Z3","819 564-7885","Organisme D'Action Sociale"
"ARRO SERVICES D'ARCHERIE DE L'ESTRIE",2655,"Rue King Ouest","J1L 2G4","819 791-5333","Magasins D'Articles De Sport"
"ARRONDISSEMENT DES NATIONS",731,"Rue Galt Ouest","J1H 1Z1","819 563-3993","Autres Services Des Administrations Publiques Locales, Municipales Et Regionales"
"ARROSAGE L. BRUNEAU ET FILS",78,"Route de Windsor","J1C 0E5","819 846-4017","Services D'Amenagement Paysager"
"ARSENAL DISTRIBUTION",1175,"Rue Thomas-Tremblay","J1G 5G5","819 212-7887","Grossistes-Distributeurs D'Autres Fournitures Speciales De Construction"
"ART & MANUFACTURE",113,"Rue Frontenac","J1H 1J7",NA,"Marchands D'Oeuvres D'Art"
"ART BEAUTÉ",1988,"Rue Normand","J1G 3X7","819 346-9303","Salons De Coiffure Mixtes"
"ART CUBUS INTERNATIONAL INC.",9200,"Boulevard Bourque","J1N 0G2","819 843-1009","Toutes Les Autres Activites Diverses De Fabrication"
"ARTMOIRE PLANI-DESIGN",1435,"Rue King Est","J1G 5H1","819 674-4216","Fabrication D'Armoires Et De Comptoirs De Cuisine En Bois"
"ARTOPEX",4001,"Boulevard de Portland","J1L 1X9","819 566-0556","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"ARTS VERSUS MULTIMÉDIAS",3400,"Chemin Saint-Roch Sud","J1N 0V1","819 823-0866","Services De Design Graphique"
"ASAPH ESTRIE",187,"Rue Laurier","J1H 4Z3",NA,"Organisme D'Action Sociale"
"ASATECH",3475,"Boulevard Industriel","J1L 1X7","819 791-1112, 1 833 791-1112","Recherche Et Developpement En Sciences Physiques, En Genie Et En Sciences De La Vie"
"ASCENSIO SOCIÉTÉ IMMOBILIÈRE",1645,"Rue King Ouest","J1J 2C7","819 481-7777","Gestionnaires De Biens Immobiliers"
"ASICS",1065,"Rue du Pacifique","J1H 2G3",NA,"Services Administratifs De Bureau"
"ASICS CANADA CORP (RUE DES ABÉNAQUIS)",101,"Rue des Abénaquis","J1H 1H1","1 800 567-3405","Sieges Sociaux"
"ASPIR-O-MAX",4266,"Boulevard Bourque","J1N 1W7","819 564-1084","Magasins D'Appareils Menagers, De Televiseurs Et D'Autres Appareils Electroniques"
"ASPIRO-CENTRAL DE L'ESTRIE",5548,"Boulevard Bourque","J1N 1H4","819 564-6982","Grossistes-Distributeurs De Machines, Materiel Et Fournitures D'Usage Professionnel"
"ASSELIN GEORGES, ARCHITECTE",461,"Rue Jacob-Nicol","J1J 4E6","819 563-2233","Services D'Architecture"
"ASSOCIATION DE LA CONSTRUCTION DU QUÉBEC RÉGION ESTRIE (ACQ)",2925,"Rue Hertel","J1L 1Y3","819 566-7077","Associations De Gens D'Affaires"
"ASSOCIATION DE LA FIBROMYALGIE DE L'ESTRIE",1013,"Rue Galt Ouest","J1H 1Z9","819 566-1067","Organisme D'Action Sociale"
"ASSOCIATION DE LA SCLÉROSE EN PLAQUES ESTRIE",321,"Rue Marquette","J1H 1M2","819 812-3300","Organisme D'Action Sociale"
"ASSOCIATION DE SHERBROOKE POUR LA DÉFICIENCE INTELLECTUELLE ( ASDI )",2065,"Rue Belvédère Sud","J1H 5R8","819 346-2227","Organisations Civiques Et Amicales"
"ASSOCIATION DE SPINA BIFIDA ET HYDROCÉPHALIE DE L'ESTRIE INC.",928,"Rue du Fédéral","J1H 5A7","819 822-3772","Organisme D'Action Sociale"
"ASSOCIATION DES ACCIDENTÉS CÉRÉBRO-VASCULAIRES & TRAUMATISÉS CRÂNIENS DE L’ESTRIE",759,"Rue Woodward","J1G 1W5","819 821-2799","Organisme D'Action Sociale"
"ASSOCIATION DES AUTEURES ET AUTEURS DE L'ESTRIE",151,"Rue de l'Ontario","J1J 3P8","819 791-6539","Associations De Gens D'Affaires"
"ASSOCIATION DES LOCATAIRES DE SHERBROOKE",532,"Rue du Conseil","J1G 2M5","819 791-1541","Organisme D'Action Sociale"
"ASSOCIATION DES PERSONNES HANDICAPÉES VISUELLES DE L'ESTRIE",1021,"Rue Belvédère Sud","J1H 4C6","819 566-4848","Organisme D'Action Sociale"
"ASSOCIATION DES POLICIERS DE SHERBROOKE",575,"Rue Maurice-Houle","J1H 1X5","819 564-7797","Organisations Civiques Et Amicales"
"ASSOCIATION DES PROCHES DE PERSONNES ATTEINTES DE MALADIE MENTALE",574,"Rue King Est","J1G 1B5","819 563-1363","Organisme D'Action Sociale"
"ASSOCIATION DES SOURDS DE L'ESTRIE",359,"Rue King Est","J1G 1B3","819 563-3476","Organisme D'Action Sociale"
"ASSOCIATION DU QUÉBEC POUR ENFANTS AVEC PROBLÈMES AUDITIFS DE L’ESTRIE",1255,"Rue Daniel","J1H 5X3","819 481-0258","Organisations Civiques Et Amicales"
"ASSOCIATION DU SYNDROME DE DOWN DE L'ESTRIE",92,"Rue Ozias-Leduc","J1H 1M7","819 569-8112","Organisations Civiques Et Amicales"
"ASSOCIATION ELITE DE FOOTBALL DE SHERBROOKE",350,"Rue Terrill","J1E 2K9","819 566-4484","Organisations Civiques Et Amicales"
"ASSOCIATION ÉPILEPSIE-ESTRIE",1131,"Rue du Conseil","J1G 1M6","819 822-3217","Organisme D'Action Sociale"
"ASSOCIATION ÉTUDIANTE DU CÉGEP DE SHERBROOKE ENR.",475,"Rue du Cégep","J1E 4K1","819 346-1874","Organisations Civiques Et Amicales"
"ASSOCIATION FORESTIÈRE DU SUD DU QUÉBEC",1055,"12e Avenue Nord","J1E 2X4","819 562-3388","Autres Associations"
"ASSOCIATION GNOSTIQUE INTERNATIONALE DE RECHERCHE ANTHROPOLOGIQUE",508,"Rue Dollard","J1E 1W2","819 861-9324","Organisations Civiques Et Amicales"
"ASSOCIATION NATIONALE DES RETRAITÉS FÉDÉRAUX - SHERBROOKE",1871,"Rue Galt Ouest","J1L 1J5","819 829-1403","Organisations Civiques Et Amicales"
"ASSOCIATION QUÉBECOISE DE DÉFENSE DES DROITS PERSONNES RETRAITÉ(E)S ET PRÉRETRAITÉ(E)S",300,"Rue du Conseil","J1G 1J4","819 821-2981","Organisme D'Action Sociale"
"ASSURANCE CLAUDE MARCOUX INC.",1333,"Boulevard du Mi-Vallon","J1N 1W6","819 823-1270","Agences Et Courtiers D'Assurance"
"ASSURANCE SIMARD MAHEU",2410,"Rue Dunant","J1H 0A4","819 822-0547","Societes D'Assurance Directe Individuelle Vie, Maladie Et Soins Medicaux"
"ASSURANCES DUCLOS",5450,"Boulevard Bourque","J1N 1H3","819 821-4343","Agences Et Courtiers D'Assurance"
"ASSURANCES MULTI-RISQUES",1910,"Rue King Ouest","J1J 2E2","819 791-1791","Agences Et Courtiers D'Assurance"
"ASSURANCIA GROUPE TARDIF",688,"Rue Prospect","J1H 1A8","819 569-7453","Agences Et Courtiers D'Assurance"
"ATELIER AUGER ART",1912,"Rue Chevalier","J1K 1E2","819 569-1026","Tous Les Autres Services De Divertissement Et De Loisirs"
"ATELIER DE CUIR PHILAMAIN",286,"Rue Alexandre","J1H 4S7","819 346-1078","Reparation De  Chaussures Et Maroquinerie"
"ATELIER DE LUTHERIE",21,"Rue de Vimy","J1J 3M3","819 822-0815","Toutes Les Autres Activites Diverses De Fabrication"
"ATELIER DE SOUDURE JP",928,"Rue Chrétien","J1R 0S8","819 346-4346","Atelier D'Usinage"
"ATELIER DESGAGNÉS INC.",6791,"Boulevard Bourque","J1N 3K4 ","819 346-5063","Autres Services De Reparation Et D'Entretien Mecaniques Et Electriques De Vehicules Automobiles"
"ATELIER DU BOIS DE ROSE",8719,"Chemin de Saint-Élie","J1R 0C4","819 346-2571","Fabrication D'Armoires Et De Comptoirs De Cuisine En Bois"
"ATELIER DU PARC",875,"Avenue du Parc","J1N 3N9","819 571-0410","Artistes Independants, Art Visuels"
"ATELIER FINES RETOUCHES",1279,"Rue Grégoire","J1N 1S7","819 572-7459","Fabrication A Forfait De Vetements Coupes-Cousus"
"ATELIER FOX MARINE",10201,"Chemin Alexis-Contant","J1N 3G1","819 868-7001","Tous Les Autres Entrepreneurs Specialises"
"ATELIER MÉCANIQUE ELP",165,"Route de Windsor","J1C 0E5","819 846-2220","Reparations Generales De Vehicules Automobiles"
"ATELIER MÉCANIQUE PROTECH INC.",1191,"Rue Claire-Jolicoeur","J1H 3B8","819 791-3040","Reparations Generales De Vehicules Automobiles"
"ATELIER MÉCANIQUE SECTEUR OUEST - VILLE DE SHERBROOKE",5548,"Boulevard Bourque","J1N 1H4",NA,"Autres Services Des Administrations Publiques Locales, Municipales Et Regionales"
"ATELIER MULTI-TEK",5954,"Boulevard Bourque","J1N 1H3","819 612-0517","Reparations Generales De Vehicules Automobiles"
"ATELIER PEDRO INC.",4099,"Rue Lesage","J1L 2Z9","819 346-7070","Atelier D'Usinage"
"ATELIER RF",1100,"Chemin Rhéaume","J1N 0G9","819 847-4136","Toutes Les Autres Activites Diverses De Fabrication"
"ATELIER SERRE LETOURNEAU",1124,"Rue King Est","J1G 1E4",NA,"Entrepreneurs En Petite Menuiserie"
"ATELIER VIVACE",1290,"Chemin Godin","J1N 0A6","819 212-9174","Construction Residentielle"
"ATELIERS ARCHITECTURE",75,"Rue Wellington Nord","J1H 5A9","819 791-5143","Services D'Architecture"
"ATELIERS B. G.",2980,"Rue King Est","J1G 5J2","819 346-2195, 1-888 331-6045","Atelier D'Usinage"
"ATELIERS BG (ASSEMBLAGE)",1211,"Rue Galt Est","J1G 1Y7","819 346-2195","Atelier D'Usinage"
"ATELIERS BG (CENTRE DE PEINTURE)",995,"Rue Longpré","J1G 5B8","819 346-8227","Atelier D'Usinage"
"ATELIERS CV INC.",130,"Rue Oliva-Turgeon","J1C 0R3","819 846-1573","Atelier D'Usinage"
"ATLANTIS POMPE",4334,"Boulevard Industriel","J1L 2S8","819 823-2002","Grossistes-Distributeurs De Tous Les Autres Machines, Materiel Et Fournitures"
"ATMOSPHÈRE SPORTS PLEIN AIR",2325,"Rue King Ouest","J1J 2G2","819 566-8882","Magasins D'Articles De Sport"
"ATTITUDE",945,"Rue Joseph-Louis-Mathieu","J1R 0X3","514 509-7225","Toutes Les Autres Activites Diverses De Fabrication"
"AU COEUR DU PAIN",4700,"Boulevard de Portland","J1L 0H6","819 933-9888","Boulangeries-Patisseries"
"AU COIN DU VIETNAM",1530,"Rue Galt Ouest","J1H 2B4","819 566-8383","Restaurants A Service Complet"
"AU GÎTE DES 4 LACS",2115,"Rue Godfroid-Gilbert","J1R 0H4","819 933-4468","Gites Touristiques"
"AU PONT DE BOIS, ÉBÉNISTERIE",2325,"Rue Hertel","J1J 2J1","819 563-5216","Tous Les Autres Etablissements De Formation Et D'Education"
"AU ROI DU COQ RÔTI",90,"Rue Camirand","J1H 4J5","819 569-9951","Etablissements De Restauration A Service Restreint"
"AU SANGLIER DORÉ",1410,"Rue King Ouest","J1J 2C2","819 575-3673","Restaurants A Service Complet"
"AU SERVICE DU CULTIVATEUR 1968 INC.",988,"Rue Wellington Sud","J1H 5E7","819 822-2237","Grossistes-Distributeurs D'Aliments Pour Animaux D'Elevage"
"AU TOURNE-LIVRE",43,"Rue Wellington Nord","J1H 5A9","819 348-1604","Librairies Et Marchands De Journaux"
"AU VENT DU NORD (CENTRE-VILLE)",338,"Rue Belvédère Nord","J1H 4B1","819 569-9534","Magasins De Biere, De Vin Et De Spiritueux"
"AU VENT DU NORD (ROCK FOREST)",4692,"Boulevard Bourque","J1N 2A8","819 933-3883","Magasins De Biere, De Vin Et De Spiritueux"
"AU VIEUX DULUTH",3155,"Boulevard de Portland","J1L 1K1","819 829-9449","Restaurants A Service Complet"
"AU VIEUX PC 2006",1330,"Rue King Ouest","J1J 2B6","819 822-2240","Magasins D'Ordinateurs Et De Logiciels"
"AUBAINERIE",505,"Rue Northrop-Frye","J1L 2Y3","819 563-2079","Magasins De Vetements Pour La Famille"
"AUBERGE BROOKS",10,"Rue Brooks","J1H 4X6","819 346-0423","Etablissements Communautaires De Soins Pour Personnes Agees"
"AUBERGE CANINE MOULTON HILL INC.",665,"Chemin Moulton-Hill","J1M 0A8","819 345-2919","Soins Pour Animaux De Maison, Sauf Les Services Veterinaires"
"AUBERGE DE LA NICHE",1200,"Rue Galt Est","J1G 1Y5","819 829-2880","Soins Pour Animaux De Maison, Sauf Les Services Veterinaires"
"AUBERGE MARQUIS DE MONTCALM",797,"Rue du Général-De Montcalm","J1H 1J2","819 823-7773","Gites Touristiques"
"AUDET ESTHÉTIQUE AUTOMOBILE",6470,"Boulevard Bourque","J1N 1H3","819 342-1366","Reparation Et Entretien De La Carosserie, De La Peinture Et De L'Interieur De Vehicules Automobiles"
"AUDI SHERBROOKE",4319,"Boulevard Bourque","J1N 1S4","819 564-2834","Marchands D'Automobiles Neuves"
"AUDIO CONTROLE",300,"Rue Belvédère Nord","J1H 4B1","819 569-9986","Toutes Les Autres Activites Diverses De Fabrication"
"AUDIO VISUEL ML",1557,"Rue King Est","J1G 1E8","819 212-6800","Autres Services De Telecommunication"
"AUDIOBEC SONO-VIDÉO",915,"Rue Blais","J1K 2B6","819 566-1668","Production De Films Et De Videos"
"AUDIOLOGIX/ALPHAVOX",3475,"Boulevard Industriel","J1L 1X7","819 569-2211","Grossistes-Distributeurs De Machines, Materiel Et Fournitures Industriels"
"AUDIOVISUEL COLLINS",1564,"Rue Belvédère Sud","J1H 4E5","819 569-8811","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"AUGUSTE RESTAURANT",82,"Rue Wellington Nord","J1H 5B8","819 565-9559","Restaurants A Service Complet"
"AULISTIK - ESPACE DE SOINS MULTIDISCIPLINAIRES INTÉGRÉS",4663,"Boulevard Bourque","J1N 2G6","819 578-8089","Cabinets De Tous Les Autres Praticiens"
"AURÉRÉ'S",3025,"Rue King Ouest","J1L 1C7","819 342-2092","Magasins De Fournitures De Bureau Et De Papetterie"
"AUTENTIK BEAUTÉ",2873,"Rue King Est","J1G 5J1","819 987-6361","Salons De Beaute"
"AUTISME ESTRIE",2350,"Rue de Rouville","J1J 1X8","819 822-3918","Organisme D'Action Sociale"
"AUTO 360 ESTRIE",6430,"Boulevard Bourque","J1N 1H3","819 432-8200","Marchands D'Automobiles D'Occasion"
"AUTO CENTRE ROCK FOREST",1317,"Boulevard du Mi-Vallon","J1N 4J1","819 822-3686","Reparations Generales De Vehicules Automobiles"
"AUTO MÉCANIQUE S. D.",2295,"Rue Saint-Francois Nord","J1H 0C9","819 571-8941","Reparations Generales De Vehicules Automobiles"
"AUTO PERFECTION INC.",6174,"Chemin de Saint-Élie","J1R 0L9","819 566-4004","Reparations Generales De Vehicules Automobiles"
"AUTO PLUS CENTRE DE L’AUTO PRÉVOST",298,"Rue Queen","J1M 1K6","819 346-9939","Reparations Generales De Vehicules Automobiles"
"AUTO PRIX ESTRIE (RUE WELLINGTON S)",1247,"Rue Wellington Sud","J1H 5E8","819 563-0563","Marchands D'Automobiles D'Occasion"
"AUTO REDRESSEMENT MICHEL MERCIER INC.",121,"Chemin Godin","J1R 0S6","819 564-0997","Reparations Generales De Vehicules Automobiles"
"AUTO TRIM ESTRIE (BOULEVARD BOURQUE)",6650,"Boulevard Bourque","J1N 1H3","819 822-8973","Reparation Et Entretien De La Carosserie, De La Peinture Et De L'Interieur De Vehicules Automobiles"
"AUTO VALUE TURCOTTE ALIGNEMENT",281,"Rue Queen","J1M 1K8","819 564-7805","Reparations Generales De Vehicules Automobiles"
"AUTOANDPRO (LE PRO DE L'AUTO)",3195,"Rue King Est","J1E 3Y6","819 563-9330","Marchands D'Automobiles D'Occasion"
"AUTOBUS DE L'ESTRIE ENR.",1075,"Rue Talbot","J1G 2P3","819 566-7828","Transport Scolaire Et Transport D'Employes Par Autobus"
"AUTOBUS DES CANTONS INC. (RUE ALBERT BOUDREAU)",3205,"Rue Albert-Boudreau","J1N 2R2","819 346-1995","Tous Les Autres Services De Reparation Et D'Entretien De Vehicules Automobiles"
"AUTOBUS DES CANTONS INC. (RUE KING E)",3001,"Rue King Est","J1G 5J1","819 346-1995","Transport Scolaire Et Transport D'Employes Par Autobus"
"AUTOBUS R. POULIOT",3001,"Rue King Est","J1G 5J1","819 837-2992","Transport Interurbain Et Rural Par Autocar"
"AUTOMOBILE RLJ",6278,"Chemin de Saint-Élie","J1R 0M1","819 823-6767","Reparations Generales De Vehicules Automobiles"
"AUTOMOBILES J.L.",905,"Rue Belvédère Sud","J1H 4C5","819 822-2880","Marchands D'Automobiles D'Occasion"
"AUTOMOD",2700,"Rue King Ouest","J1L 1C5","819 569-9696","Ateliers De Remplacement De Glaces Et De Pares-Brise"
"AUTOS ÉVASION SHERBROOKE",6134,"Boulevard Bourque","J1N 1H3","819 864-0618","Marchands D'Automobiles D'Occasion"
"AUVENTS COTNOIR",4983,"Rue de Lotbinière","J1N 0E3","819 820-8050","Tous Les Autres Magasins De Detail Divers, Sauf Les Magasins De Materiel Pour La Fabrication De La Biere Et Du Vin"
