Business Name,Products or Services,Unit,House Number,Road,Postal Code,Phone,Town Centre,Longitude,Latitude
Anaya Janitorial Services,Janitorial Services,,12177,97 Ave,V3Y2C8,,WTC,-122.8853774,49.17903253
Prity Yard Works,"Lawn/Garden maintenance,snow removal",102,2548,154 St,V4P1C5,,SSTC,-122.7937314,49.04818483
Destiny Mechanical Ltd ,Contractor: Plumbing and gasfitter,,7059,148A St,V3S2X3,,NTC,-122.8112289,49.13145319
Unlimitrust Investments Corporation,Import  / Export  / E-Commerce -ONLINE ONLY ,,2706,164 St,V3Z0P3,,SSTC,-122.7678473,49.05121568
Greenstar Enterprises Ltd,Contractor - Landscaping,,13712,60 Ave,V3X2M8,,NTC,-122.8423918,49.11169584
Lyonridge Property Services Inc,"Janitorial Service,Contractor - Exterior cleaning, post construction, cleanup",229,9979,140 St,V3T5W2,,SCC,-122.8344905,49.18373799
R R G Chauffeurs Ltd,Limousine Service,,14491,57 Ave,V3S8E2,,NTC,-122.8204929,49.10652631
Serpentine Building Solutions Inc,Contractor - Steel stud/Drywall/Renovations,,6671,185A St,V3S9B7,,CTC,-122.7087305,49.12393163
Incisive Marketing Inc,Consultant,37,2603,162 St,V3Z2L4,,SSTC,-122.7722089,49.04890404
A1 Top Canadian Roofing Ltd,Contractor - Roofing/Insulation,,8856,132B St,V3V8W3,,WTC,-122.8546358,49.16348452
Reliance Exteriors Ltd,Contractor - Exterior Cladding,,9039,155A St,V3R8Z9,,FTC,-122.7916593,49.16717939
Black Knight Business Solutions Ltd,Computer Consulting/Repair/Design,,17204,Jersey Dr,V3S4X5,,CTC,-122.7476271,49.10845179
Shaylo and Lolli,Mail Order,,18956,69A Ave,V4N5K2,,CTC,-122.6972199,49.12915632
Star Driving School,Driving School,,13678,58 Ave,V3X3H9,,NTC,-122.8433721,49.108672
C Fraser Contracting,Contractor - General,,6295,171 St,V3S7K4,,CTC,-122.748868,49.11735859
Serene Face Glow,"Esthetician,Estheticia:  Facials / Waxing / Manicure  / Pedicure  / Spa massage",,17428,103A Ave,V4N5R3,,GTC,-122.7396993,49.18976634
Fastrack Drywall Ltd,Contractor - Masonry/Drywall,,14470,67B Ave,V3S0T3,,NTC,-122.8213014,49.12555081
Belle Embroidery & Design,Mail Order - Embroidery Patterns ,4,13650,80 Ave,V3W6J8,,NTC,-122.8433133,49.14795925
Spiritualis Landscaping,Contractor - Landscaping/Excavating,34,15488,101A Ave,V3R0Z8,,GTC,-122.7932708,49.18715402
Jumbo Trucking Ltd,Trucking & Cartage,,13462,71 Ave,V3W2K5,,NTC,-122.8494452,49.13153414
WOW 1 Day Painting,Contractor - Painting,,16433,24A Ave,V3Z0M8,,SSTC,-122.7670814,49.04676955
Em & Kat Company,Mail Order,,8891,164 St,V4N1A1,,FTC,-122.7670029,49.16457391
Simon 4U Landscaping & Home Maintenance Co,Contractor - Masonry/Drywall,,16360,109A Ave,V4N4S7,,GTC,-122.7686879,49.20145879
Gurinder Dhillon,Contractor: Home Builder ,,8102,157 St,V4N0X6,,FTC,-122.7869442,49.14999443
TheRentalGuys.ca,Rental Service,,14640,59A Ave,V3S0V5,,NTC,-122.8169693,49.11080663
D N Malhi Transport Ltd,Trucking & Cartage,,14240,72 Ave,V3W2R1,,NTC,-122.8275561,49.13352157
Stinger Home Inspections,Contractor - Building Inspections,,15038,61 Ave,V3S7W9,,NTC,-122.80524,49.11343343
Hira Trucking Ltd,Trucking & Cartage - Trucking Dispatch,,6345,128 St,V3X1S9,,NTC,-122.868096,49.11808204
Regal Exterior Ltd,Contractor - Miscellaneous,,8150,122 St,V3W7G2,,NTC,-122.8834418,49.15127771
Premium Painting Ltd ,Contractor: Painting ,,8015,133A St,V3W6A1,,NTC,-122.8529632,49.14852879
Tamaray,Physiotherapist: MOBILE ONLY ,41,14057,60A Ave,V3X0J2,,NTC,-122.8330816,49.11294597
Reeno Electric,Contractor - Electrical,,6736,193B St,V4N5W5,,CTC,-122.6861694,49.12550838
Orbit Home Automation Ltd ,Contractor: Low voltage electrician / alarm installation,,14141,70 Ave,V3W7B4,,NTC,-122.8300334,49.13013718
Simplex Mechanical Ltd,"Contractor - Plumbing, Heating, HVAC & Refridgeration ",,14216,88 Ave,V3W3L7,,WTC,-122.8282501,49.16266663
Jodi's Pet Grooming,Dog Grooming ,,19250,76 Ave,V4N6C6,,CTC,-122.6897004,49.14074267
Fonseca German Shepherds,Hobby Kennel,,19250,76 Ave,V4N6C6,,CTC,-122.6897004,49.14074267
Born to Build Construction,Contractor: Construction - Office Use ONLY,122,9177,154 St,V3R9G8,,FTC,-122.7960073,49.16959188
Orbit Energy Controls Ltd,Contractor - Electrical,,6657,126 St,V3W1V8,,NTC,-122.8733275,49.12400199
Naked Nutrition,Consultant,5,19448,68 Ave,V4N5V5,,CTC,-122.6839993,49.12618563
Kai Zhao Painting,Contractor: Painting,78,15075,60 Ave,V3S1S1,,NTC,-122.8045134,49.11193565
N K S Homes Ltd,Contractor - Builder,,12874,69A Ave,V3W0P1,,NTC,-122.8656455,49.12922057
Dynacom Communications,Contractor - Security/Communications,,11026,Oriole Dr,V3R5A6,,GTC,-122.8091756,49.20276591
Pacific Paving Ltd,Contractor - Landscaping/Paving,,6730,124 St,V3W0Z7,,NTC,-122.8787629,49.12530027
Saberman Contracting & Metalworks,Contractor - Construction,,11105,Bolivar Cr,V3R3A2,,SCC,-122.8483797,49.20448085
Modern Class Construction Ltd,Contractor - Framing,,13493,91 Ave,V3V2E4,,WTC,-122.8488273,49.16835709
Sindhi Custom Homes Ltd ,Contractor: Home Builder,,13107,98A Ave,V3T1C5,,SCC,-122.8594165,49.18187654
Gosse Cleaning Services,Janitorial Service,59,7955,122 St,V3W4T4,,WTC,-122.8848446,49.147513
Globefirst Innovative Traveltech Incorporated,Travel Agency,401,13780,76 Ave,V3W1E5,,NTC,-122.8416215,49.14005723
Mr.Locksmith ,Locksmith,37,2955,156 St,V3Z2W8,,SSTC,-122.7904497,49.0552526
Simply Fresh Delivery Inc,Courier delivery of package foods ,,17375,64A Ave,V3S3K9,,CTC,-122.741175,49.11976585
Coquitlam Dairy Distribution Inc,Administration Office,,14763,79 Ave,V3S2T8,,NTC,-122.813705,49.14602542
Jim's Bouncy Castle Rentals,Rental Service,,16649,108 Ave,V4N1N5,,GTC,-122.7606077,49.19901223
K R S Communications Ltd,Contractor - Electrical,51,6050,166 St,V3S0X2,,CTC,-122.7622138,49.11218137
New Mode Security Ltd ,Security Service,,12203,75 Ave,V3W2S7,,NTC,-122.8846872,49.13955186
Amrika Enterprises Ltd,Contractor: Construction ,,2668,143A St,V4P1R6,,SSTC,-122.8251698,49.05058715
Ward & Burke Microtunnelling Ltd ,Contractor: Construction ,1,9328,122 St,V3V4L6,,WTC,-122.8844285,49.17289168
Koutnik Construction ,Construction: Renovations and new construction,,6029,138A St,V3X0H3,,NTC,-122.8387674,49.11249707
Chimney Heights Framing Ltd,Contractor - Framing,,14815,71A Ave,V3S2E4,,NTC,-122.8117108,49.13307503
Maxcare Contracting Ltd,Contractor - Minor renovations and contracting services,,16286,80A Ave,V4N0J7,,FTC,-122.7704645,49.14896046
G H S Custom Homes Ltd ,Contractor: Home Builder ,,9366,148A St,V3R3Y9,,FTC,-122.8104927,49.17290313
R M C Mechanical Ltd ,Contractor: Plumber ,9,18883,65 Ave,V3S8Y2,,CTC,-122.700158,49.12092813
R D Mackey Enterprises Inc,Contractor - Renovations,14,6785,193 St,V4N0Z4,,CTC,-122.6889623,49.12580765
Highline Plumbing,Contractor - Plumbing,,5868,138 St,V3X3P3,,NTC,-122.8389701,49.10993089
Red Leaf Mechanical Ltd ,"Contractor - Plumbing
",,12748,104 Ave,V3V3H9,,WTC,-122.8692955,49.19151376
Trendsetter Framing Ltd , Contractor: Framing,,12954,98B Ave,V3T1E1,,SCC,-122.8633493,49.18218832
A S I Dream Homes & Painting Ltd,Contractor: Painting,,13317,84 Ave,V3W3H1,,NTC,-122.8536984,49.15559067
D B M Refrigeration Ltd,Repair Service - Refridgeration Repair,,8627,150 St,V3S5A3,,FTC,-122.8071641,49.15957945
O M E X Homes Inc,Contractor: Construction,,13422,78A Ave,V4W2Y3,,NTC,-122.8505564,49.14538035
Shivay Constructions Inc,Contractor - Wood Framing,,9336,148 St,V3R3W8,,FTC,-122.812025,49.17244049
P K N Hair & Beauty Salon,Hairdresser ONLY ,,9585,155 St,V3R7S9,,FTC,-122.7930666,49.17655776
Green Leaf Mechanical Ltd,Contractor: Plumbing/Heating,,13509,80 Ave,V3W3C2,,NTC,-122.8482649,49.14829915
C & B Rebar & Damp Proofing Co,Contractor - Rebar & Damp Proofing,,14888,68A Ave,V3S2C3,,NTC,-122.8096149,49.12725448
Blue Heron Projects Ltd,"Contractor: General ,Contractor - Miscellaneous",,13083,14A Ave,V4A1H9,,SSTC,-122.8598157,49.0287031
Busy Brothers Painting Ltd,Contractor - Painting,,15817,99A Ave,V4N2A7,,GTC,-122.7841369,49.18355556
1064394 BC Ltd,Contractor: Builder ,,15441,85A Ave,V3S5N6,,FTC,-122.7942242,49.15843683
Taj Drywall Ltd,Contractor - Drywall Installation,,6138,130B St,V3X2G9,,NTC,-122.8602213,49.11424256
Sunny Driving School Ltd ,Driving School,,12063,92 Ave,V3V1E8,,WTC,-122.888516,49.17058186
Enayatollah Keshavarzi,Tutoring,,1630,King George Blvd,V4A4Z8,,SSTC,-122.775976,49.03181797
Ace Masonry Ltd,Contractor - Masonry/Construction,,15467,112A Ave,V3R0K5,,GTC,-122.793041,49.20716928
Millennial Drivers Driving School Ltd,Driving School,301,10533,University Dr,V3T5T7,,SCC,-122.8511468,49.19407689
B & K Finishing & Carpentry Ltd,Contractor - Finishing/Carpentry,,5742,173 St,V3S4A2,,CTC,-122.7422533,49.1067288
Blueoak Construction Ltd ,Contractor: Construction,,14792,57A Ave,V3S3B7,,NTC,-122.8125406,49.1072165
JAK Janitorial Services Ltd,Janitorial Services,,9718,153A St,V3R4H9,,GTC,-122.7965265,49.17912236
Jas & Jot Drywall Ltd ,Contractor: Drywall  ,,12629,90 Ave,V3V6J3,,WTC,-122.8728539,49.16657368
Vespa Pest Control Ltd,Contractor - Pest Control,,7058,148 St,V3S2X3,,NTC,-122.8119708,49.13130161
Guardian Stucco & Auto Glass Ltd,Contractor - Construction,,7754,147 St,V3S2P5,,NTC,-122.8150574,49.14381662
N S R Transport Ltd ,Transportation: Trucks parked in yard - OFFICE USE ONLY ,,6901,126A St,V3W1K6,,NTC,-122.8723466,49.12837609
Team Rebar Construction Ltd ,Contractor: Rebar and Damproofing,,6231,171A St,V3S5S3,,CTC,-122.7475207,49.11584639
Smartitrax Asset Management Inc,Web Page Building,,13075,64A Ave,V3W8A7,,NTC,-122.8601614,49.1201061
Brar Enterprises Ltd ,Janitorial - Office Use Only ,,8255,171A St,V4N0B2,,FTC,-122.746973,49.15271357
Gill Landscaping Ltd,Contractor - Landscaping,,13515,81 Ave,V3W5Z5,,NTC,-122.8480567,49.15021427
Mode Money Managers Inc,Financial Advisor,21,15933,86A Ave,V4N5W2,,WTC,-122.7811259,49.16036347
Metro Van Express ,"Moving and Delivery  - OFFICE USE ONLY - Truck parked at 
163 Schoolhouse Street, Coquitlam",22,8717,159 St,V4N5R9,,FTC,-122.7823338,49.16135189
JIHE Construction Corp,Contractor - Construction,425,10838,City Pky,V3T5X9,,SCC,-122.8485844,49.19983662
Sweet Leilani Cosmetics Inc,Administration Office,,5955,189A St,V3S7W5,,CTC,-122.6978499,49.11069309
N B Off-Road Adventures Inc,Tour Consultant/Operator,,15055,Bluebird Cr,V3R4T8,,GTC,-122.8047261,49.20048766
New Basra Construction Corporation,Contractor: Construction Material pick-up ,,15094,84 Ave,V3S8H5,,FTC,-122.8044526,49.15538473
Pamma Curbing & Landscaping ,Contractor: Curbing and Landscaping,,14108,77 Ave,V3W6K8,,NTC,-122.8316167,49.14260626
Narender Bhatti,Contractor: Construction ,,12098,57A Ave,V3X2S3,,NTC,-122.8876474,49.10727924
Emerald Strata Care Ltd ,Contractor: Building Service Worker / ,57,6591,195A St,V4N6N5,,CTC,-122.6817566,49.12320873
R S Security Services Inc,Security Service,3,7518,138 St,V3W1S1,,NTC,-122.8397231,49.13928119
H M Cleaning Services ,Contractor: Post Construction Clean-up ,,10364,133A St,V3T4A4,,SCC,-122.8518667,49.19099393
Deep Tire Service Ltd,Tire Repair & Installation - Mobile use only,,14884,94 Ave,V3R7B1,,FTC,-122.8099291,49.17325824
BeeBalm Designs,Mail Order,101,15388,101 Ave,V3R4H1,,GTC,-122.7964488,49.18593129
Jaura Creations Ltd,"Business School, Dance Lessons - MOBILE ONLY",403,13740,75A Ave,V3W0E8,,NTC,-122.8410948,49.13877585
Almas Monarch Construction Ltd,"Contractor - General, General Contractor",,19139,72 Ave,V4N6L1,,CTC,-122.6928692,49.13381028
Surreyvilla Construction Inc,Contractor - General,,8646,156 St,V3S3S1,,FTC,-122.7893074,49.15947018
A Craig & Son Ltd,Contractor - Painting,,17006,104A Ave,V4N3L9,,GTC,-122.7514731,49.1923239
Glory Temp Control Ltd,"Repair Service,Inter-Municipal Business License FV,Inter-Municipal Business License Metro",,15587,112 Ave,V3R6H2,,GTC,-122.7903101,49.20626365
Royal Oak Exteriors Ltd,Contractor - Miscellaneous,,13480,67 Ave,V3W6L9,,NTC,-122.8485939,49.12410467
Accurate Books Corp,Bookkeeping,,5875,177B St,V3S4J7,,CTC,-122.7305483,49.1093535
Modern Blue Mechanical Ltd,Contractor - Plumbing/Heating,1,8358,121A St,V3W1T6,,NTC,-122.8864179,49.15506311
Fast Lane General Services,Janitorial Service,106,13226,104 Ave,V3T1V1,,SCC,-122.8555519,49.19149759
Noble Disposal Inc,Trucking & Cartage,,7312,191B St,V4N6L8,,CTC,-122.6918667,49.13562655
"D M CERE Tax & Accounting, CPA",Professional Practitioner-Accountant,69,15688,28 Ave,V3Z0N1,,SSTC,-122.7886022,49.05264004
Paige Logistics Ltd,Administration Office,77,15233,34 Ave,V3Z2T7,,SSTC,-122.8001399,49.06388369
Neptune Freightways Ltd,Trucking & Cartage - Administrative Office,,5991,154A St,V3S6G5,,NTC,-122.7935047,49.11140637
Viewfinder Productions Ltd,Consultant,,16352,36A Ave,V3Z0X5,,SSTC,-122.7691782,49.06835708
kN Fall Protection Services Ltd,Contractor - Guardrails/Fall Protection Anchors,10,8918,128 St,V3V5M7,,WTC,-122.8677177,49.16476457
Vanoak Homes Ltd,Contractor: Construction,,9483,162A St,V4N2B7,,FTC,-122.7722709,49.17490954
Fresh Choice Daily Enterprises ,Office Use ONLY - Online wholesale of seafood ,116,9718,161A St,V4N6S7,,FTC,-122.7740511,49.17949609
Royal Canada Construction Ltd,"Contractor - Carpentry, Siding & Finishing",,10274,158A St,V4N2M6,,GTC,-122.7826606,49.18912802
Dragonwires Telecom Inc,Contractor Electrical - Install Phone systems,,13938,115 Ave,V3R2P4,,WTC,-122.8358045,49.21128731
Beautelle Professionails,"Esthetician: Nail professional only ,Hair Services ",,6278,188 St,V3S7S8,,CTC,-122.7014847,49.11616673
Big Boss Construction Ltd,Contractor: General ,,7781,122 St,V3W3S5,,NTC,-122.8848859,49.14447012
Active Boyz Truck & Trailer Repair Ltd,Automotive Repair Service,,13495,88A Ave,V3V1A1,,WTC,-122.848788,49.16433702
Newlife Plumbing and Heating Ltd,Contractor - Plumbing/Heating,,6779,128B St,V3W7C4,,NTC,-122.8657847,49.12615013
Abstractive Images,Photographic Services,,13875,90 Ave,V3V1C2,,WTC,-122.8381905,49.16662658
Adam Stucco Ltd,Contractor - Stucco,,8053,Dominion Pl,V3W6B2,,FTC,-122.8542326,49.14926317
1055418 BC Ltd,Contractor - Construction,,13352,84A Ave,V3W6Y6,,NTC,-122.8524936,49.15620208
Bhullar Homes Incorporated,Contractor - Home Building/Developer/General,,6985,Hayle Pl,V3W6M7,,NTC,-122.8610867,49.12982994
Hansol International Consultants,Consultant - INternational Students ,,11442,154A St,V3R2V7,,GTC,-122.7891326,49.20897594
Sonay Ceylan,Miscellaneous - Home Caregiver,34,13499,92 Ave,V3V8B7,,WTC,-122.8475417,49.17132648
Mainland Drywall Ltd,"Contractor - Drywall,Contractor - Masonry/Drywall",,14913,67A Ave,V3S0P3,,NTC,-122.8089274,49.12563315
Star Eagle Drywall Ltd,Drywall Contractor,,6607,128 St,V3W4C8,,NTC,-122.8680539,49.12301335
Nemolin Construction & Renovations Ltd,Contractor - Renovations,56,2929,156 St,V3Z0S9,,SSTC,-122.7904463,49.0547853
Deep & Max Plumbing & Heating Ltd ,"Plumbing contractor,Plumbing & Heating Contractor",,8339,134A St,V3W0Y1,,NTC,-122.8500872,49.15409602
We Source the World Consultants Inc,Import/Export,110,6960,120 St,V3W1V4,,NTC,-122.8900678,49.12933413
Edifice Projects Inc,Contractor: Construction,,8010,163 St,V4N0J6,,FTC,-122.7696365,49.14840064
C S Finishing & Carpentry Ltd ,Contractor: Carpentry and Finishing,,12636,98 Ave,V3V2K8,,WTC,-122.8723678,49.18068318
Grounds Guys ,Contractor: Landscape maintenance,,18369,21A Ave,V3Z9W2,,SSTC,-122.7139077,49.04140276
Azaad Concrete Pumping Ltd ,Contractor: Concrete ,,15391,27A Ave,V4P1G1,,SSTC,-122.7960605,49.05207549
New Age Cleaning Ltd ,Janitorial: Residential and Commercial,,14211,100A Ave,V3T1K7,,SCC,-122.82811,49.18529833
Fibrenew,Repair Service / Mobile ONLY ,,16153,14B Ave,V4A9R3,,SSTC,-122.7754783,49.02831651
Sunstar Security Services Ltd,"Security Guard Service,Security Guard Services",135,9463,Prince Charles Blvd,V3V7G1,,WTC,-122.8649341,49.17448442
OnCommand Cleaning and Restoration Ltd,Contractor - Cleaning and disinfecting Restoration services demolition and repairs,,17950,57A Ave,V3S1J4,,NTC,-122.7253599,49.10680202
1128384 BC Ltd,Electrical Contractor,,6062,Greenside Dr E,V3S5M8,,CTC,-122.6858501,49.11353063
Electrocity Electrical Service Ltd,Electrical Contractor,,5390,189 St,V3S2K2,,CTC,-122.6981289,49.10024588
Nanak Siding Ltd,Contractor: Siding,,13520,80 Ave,V3W3C1,,NTC,-122.8479423,49.14800917
Parm's Drywall Ltd,Drywall Contractor,,8865,Roslin Pl,V3V6L8,,WTC,-122.8404655,49.16400501
Fantastic Tour Co,Travel Agency,,13610,20A Ave,V4A9V7,,SSTC,-122.8451448,49.03925311
Awal Home Designs Ltd,"Drafting/Design Service,Drafting design services",,13296,62A Ave,V3X0A9,,NTC,-122.8540869,49.11592282
YOO-CA Cultural Education Centre,Education Service,,18181,66A Ave,V3S0N8,,CTC,-122.7194696,49.12366432
Right Way Glass Ltd ,Glass Installer / MOBILE ONLY ,,15017,85A Ave,V3S2P6,,FTC,-122.8064112,49.15843793
City Driving School Ltd ,Driving School ,,12671,93A Ave,V3V1L4,,WTC,-122.8717322,49.17281858
West Tech Flooring,Contractor - Hardwood and Laminate Flooring installation,414,14960,102A Ave,V3R6A3,,GTC,-122.8071867,49.18873977
Care For Dreams Immigration Services Ltd ,Immigration consultant,6,14453,72 Ave,V3S2E6,,NTC,-122.8220855,49.13390039
Watson Ink Plumbing and Co Ltd,Contractor: Plumbing,59,18828,69 Ave,V4N5L3,,CTC,-122.7008051,49.12832451
Riser Plumbing & Heating Ltd ,"Contractor: Plumbing and Heating,Contractor - Plumbing/Heating",,12646,92 Ave,V3V1H1,,WTC,-122.8724387,49.16980284
Bros Electric Ltd,Contractor - Electrical,,16330,80 Ave,V4N0X3,,FTC,-122.7693332,49.14807494
Mr Appliance of East Surrey,Appliance Repair - Mobile office use only,,5966,164 St,V3S6M6,,CTC,-122.7675576,49.11091991
Marthe Lemire Counselling,Counselling Service,,18372,56B Ave,V3S6G8,,CTC,-122.7132127,49.10541276
Awesome Beauty,Esthetician services,,6425,138 St,V3W5G5,,NTC,-122.8400898,49.1194763
Three Point Trucking Inc,Administrative Office - Dispatch Office,,7439,141A St,V3W7L3,,NTC,-122.8310057,49.13801249
S R Framing Ltd,Contractor - Constructon/Framing,,8235,146 St,V3S3A6,,FTC,-122.8178431,49.15266827
A J Gill Transport Ltd,Trucking & Cartage,,6952,143A St,V3W0E3,,NTC,-122.8245213,49.12913684
1128289 BC Ltd,Contractor - Miscellaneous,,14687,73 Ave,V3S9J8,,NTC,-122.8153182,49.13551878
Borealis Business Services,Bookkeeping,,14801,Holly Park Lane,V3R6Y1,,GTC,-122.8119536,49.19538446
Rockson's Plumbing & Heating Service Ltd,"Contractor - Plumbing/Heating,Plumbing/Heating Contractor",,19273,0 Ave,V3Z9R9,,SSTC,-122.6891398,49.00246315
Singh Drafting and Home Plans Ltd,Drafting/Design Service,,14172,77A Ave,V3W2X3,,NTC,-122.8297365,49.14351691
Ethical Electrical Ltd,Contractor - Electrical,,19181,60 Ave,V3S8Z1,,CTC,-122.691916,49.11144121
Yao Culture Communication Ltd,Tutoring,5,3268,156A St,V3Z9T1,,SSTC,-122.789914,49.06073256
Polar Insulation Ltd,"Contractor - Insullation, Contractor - Insulation",,11663,98 Ave,V3V2J1,,WTC,-122.8993769,49.18099931
M & H Moving & Cleaning Ltd ,"Moving and Cleaning Services 
Truck parked at North Fraser Way, Burnaby.",,13672,92 Ave,V3V1H8,,WTC,-122.8438615,49.16992566
Adsolem Holdings Inc,Contractor - Home Building,,9043,155 St,V3R8W3,,FTC,-122.7926839,49.16740548
Conway Christian Resources,Printer/Publisher,205,7881,120A St,V3W0Y7,,NTC,-122.8877562,49.14637751
SWGC Accounting Services,Professional Practitioner-Accountant,,6173,Northpark Pl,V3X2A8,,NTC,-122.8842913,49.11457796
DGH Developments Ltd,Contractor - General,,8961,135A St,V3V5V2,,WTC,-122.8482631,49.16557174
Jay & Ess Constructions Ltd,Contractor - General,,7908,122A St,V3W3T3,,NTC,-122.8830057,49.14683354
Surrey Metro Car Wash and Detail Ltd,Car Detailing / MOBILE USE ONLY,,14040,75 Ave,V3W7A7,,NTC,-122.833571,49.13888219
Khabra Construction Ltd,Construction: Home builder,,9548,134 St,V3V5S5,,WTC,-122.8511579,49.17606788
0988810 BC Ltd,Contractor: Homebuilder,,10105,128A St,V3T3E5,,SCC,-122.8663301,49.18633563
Icon Cleaning Services Ltd,Janitorial Services,,9474,124A St,V3V7G2,,WTC,-122.8775948,49.17490649
Crest Mechanical Corp,Contractor: Plumbing and heating,,16783,80 Ave,V4N0G8,,FTC,-122.7570512,49.1472579
Baraich Construction Ltd,Contractor: Construction,,9572,Nairn Pl,V3V6Y4,,WTC,-122.8581012,49.17642058
Quality Tiling,"Contractor - Tile Installaion,Contractor - Tile Instalation",8,19330,69 Ave,V4N0Z2,,CTC,-122.6875647,49.12823002
Kesri Enterprises Ltd ,Contractor:  Builder,,2321,172 St,V3S9Z5,,SSTC,-122.7464677,49.04414803
JR & J Construction Ltd,Contractor: Construction,,7299,194A St,V2Y6K1,,CTC,-122.684008,49.13535808
J S S Tile and Stone Inc,Tile Installer ,,9062,Prince Charles Blvd,V3V1R5,,WTC,-122.863612,49.16724652
Brickstone Homes Ltd ,Contractor: Homebuilder,,6259,149 St,V3S2X1,,NTC,-122.8091147,49.11627244
Back 2 Beauty,"Esthetician Service - Facial, waxing, manicure, pedicure, makeup",,13190,69A Ave,V3W6N9,,NTC,-122.8569591,49.12917116
Garcha Bros Mechanical Ltd ,Contractor: Plumbing and Heating,7,12070,76 Ave,V3W5Z2,,NTC,-122.888268,49.14112196
D S K Drywall & Taping Ltd ,Contractor: Drywall and Taping,,14286,72 Ave,V3W2R1,,NTC,-122.8262243,49.13351536
361179 BC Ltd,Construction: Homebuilder ,,14057,102A Ave,V3T1R1,,SCC,-122.832631,49.18840263
M J Drywall Ltd,Contractor - Masonry/Drywall,,13474,59 Ave,V3X1L3,,NTC,-122.849167,49.10992566
Vegeland Seeds Co Ltd,Mail Order,,13251,21A Ave,V4A9N1,,SSTC,-122.8548893,49.04166033
Yan Trucking Ltd,"Cargo Transportation - 1 Vehicle only
Truck parked at 12203 Old Yale Road",,14640,112 Ave,V3R6Z3,,GTC,-122.8174517,49.20575526
Ideal Window Fashions & Crafts Ltd,Contractor: Window Blinds / Door Screen ,3,2239,164A St,V3Z0V1,,SSTC,-122.7673652,49.04307155
Supreme Gardening & Landscaping Ltd,Gardening & Landscaping,,8563,148 St,V3S3G5,,FTC,-122.8126705,49.15843882
Siti's Cleaning Service,Janitorial ,108,10221,133A St,V3T5J8,,SCC,-122.8523519,49.18840054
Finesse Appliance Service Ltd,Appliance Repair - MOBILE ONLY,,8907,154 St,V3R4J3,,FTC,-122.7951541,49.16485094
H D Mini Excavating Ltd,Contractor: Excavation,,7750,184 St,V4N5V4,,CTC,-122.7121679,49.14296936
Ali's Pebbies & Gems,Hand Crafted Jewelry,,6876,192A St,V4N0B7,,CTC,-122.6892543,49.12783618
Fix It Technicians (The) ,Applicance repairs  / Mobile Use Only ,,12263,72A Ave,V3W9J6,,NTC,-122.8829285,49.13505161
Ultimate Driving School,Driving School ,,8854,139A St,V3V5Y2,,WTC,-122.8359438,49.16384826
Dhami Enterprises Ltd,Landscaping and Excavating,,14711,84 Ave,V3S2M4,,WTC,-122.8149198,49.15565111
Open Spaces - Organizational and Downsizing Services,Consultant,222,2228,162 St,V3Z6P4,,SSTC,-122.7735323,49.04285814
Sunshine Landscaping Inc,Contractor - Landscaping/Excavating,,18620,64 Ave,V3S8N1,,CTC,-122.7065752,49.1187007
Safe Harbour Counselling,Counselling Service,,14757,110A Ave,V3R2B8,,GTC,-122.8136676,49.20353249
Jagtar Singh Dhaliwal,Contractor - Home Building,,11353,Royal Cr,V3V2S8,,WTC,-122.9081992,49.18035045
High Class Electrical Ltd,Electrical Contractor,,13952,90A Ave,V3V7V1,,WTC,-122.8358578,49.16722433
Alpha Smart Learning Inc,Education for Trade  / HOME OFFICE ONLY ,,8741,140A St,V3W0M4,,WTC,-122.8335796,49.1618274
Tajinder S Dhaliwal,Contractor: homebuilder ,,16377,8 Ave,V4A1A3,,SSTC,-122.7688889,49.01672496
Local Honey Beauty,Esthetician,,6020,190B St,V3S7T8,,CTC,-122.6942694,49.11195211
Siren Enterprises,Vacuum Installation,,6725,140 St,V3W5J3,,NTC,-122.8345528,49.1248128
Quality Custom Homes Ltd ,Contractor: Homebuilder,,9038,Snowdon Pl,V3V6T5,,WTC,-122.8523845,49.16699801
Blue Diamond Drywall Ltd,Contractor: Drywall  and Taping,,6107,127 St,V3X3M6,,NTC,-122.870783,49.11336457
Budget Excavating & Trucking Ltd,Excavating & Disposal,,12691,67A Ave,V3W1G3,,NTC,-122.8710741,49.12523618
Pyramid Tiles Ltd,Contractor - Tile Installation,,7539,148 St,V3S3E8,,NTC,-122.812456,49.13988805
A-One Cleaning Service,Cleaning Service,,13433,84 Ave,V3W3H3,,NTC,-122.8502461,49.15560851
Batth Drywall Ltd,Drywall - Taping,,12220,64 Ave,V3W1W7,,NTC,-122.8842128,49.11911629
S D Tiles & Laminate Installation Ltd,General Contractor - Tile and Laminate Installation,,12875,64 Ave,V3W1X4,,NTC,-122.8657085,49.11928135
Karnail Singh Blueberry Farms Ltd ,Farming: OFFICE USE ONLY ,,14231,69A Ave,V3W1A5,,NTC,-122.827766,49.12924831
D3M Construction,Construction - Building/Renovating - Homes/Offices,,18068,67B Ave,V3S7B2,,CTC,-122.7219838,49.1252746
J B Tiles ,Contractor: Construction / Tile Installer,102,13911,70 Ave,V3W6B4,,NTC,-122.8358461,49.13018806
S Brothers Construction Ltd,Drywall Contractor - Installation and Finishing,13,8255,120A St,V3W1T2,,NTC,-122.8888113,49.1533897
G & N Trading Inc,Contractor: Landscaper,,9011,King George Blvd,V3V5V7,,WTC,-122.8461417,49.16667823
