NAME,BUSINESS_DESC,TYPE_CODE,TYPE_DESCRIPTION,OBJECTID,SHAPE,LICENCE_ACCOUNT_NUMBER,LICENSE_LOCATION
VEDA LIVING,STUDENT HOUSING,7310,7310 - Apartment,48025,,4078913,842 ACADEMY WAY
"READY, SET, FLOW PLUMBING LTD",Gas & Plumbing Contractor,1566,1566 - Contractors,48101,,4088861,4479 LAKESHORE RD
KELOWNA SPRINGS GOLF CLUB,Kelowna Springs Golf Club,2020,2020 - Fitness and Recreational Sports,48104,,4086975,480 PENNO RD
LIL'BLOOMERS II,CHILD CARE (20 CHILDREN),1902,1902 - Child Care Services,48106,,4069036,215 SHEPHERD RD
LEES CARIBBEAN RESTAURANT LTD.,CATERING OR MEAL PREP (RUTLAND CENTENNIAL PARK),7100,7100 - Restaurant - Catering or Meal Prep,48107,,4084715,250 RUTLAND RD N
TEN PERCENT RALPH DBA RALPH STAPLETON,RENTAL MANAGEMENT - HBB MINOR,3350,3350 - Management Company - Property,48120,,4084273,4357 HOBSON RD
ROCK SHORE DEVELOPMENTS LTD.,DEVELOPMENT COMPANY - HBB MINOR,3350,3350 - Management Company - Property,48120,,4084272,4357 HOBSON RD
UNITED RENTALS OF CANADA INC,MACHINE OR EQUIPMENT RENTAL,8050,8050 - Machine & Equipment Rental,48306,,4080660,3334 SEXSMITH RD
COAST POWER TRAIN LTD,REBUILD ENGINES FOR LARGE TRUCKS,2204,2204 - Garage (Repair),48306,,4032953,3358 SEXSMITH RD
PHARAOHS ESTATE DESIGN & CASTING,Manufacturing - Architectural Cast Elements,3405,3405 - Manufacturer,48306,,4086584,3376 SEXSMITH RD
ARTESANO CABINET COMPANY INC.,Manufacturer Cabinets,3405,3405 - Manufacturer,48306,,4086650,3366 SEXSMITH RD
HAWKEYE HOLDINGS LTD,MANAGEMENT COMPANY,3350,3350 - Management Company - Property,48306,,4027454,3396 SEXSMITH RD
HAWKEYE HOLDINGS LTD,BUILDING & EXCAVATING & PLUMBING CONTRACTOR,1566,1566 - Contractors,48306,,4021233,3396 SEXSMITH RD
LAKESIDE ROOFING LTD,Roofing,1566,1566 - Contractors,48306,,4088935,3350 SEXSMITH RD
HIGHMARK EXCAVATING INC,PLUMBING & EXCAVATING/BULLDOZING CONTRACTOR,1566,1566 - Contractors,48306,,4065149,101-3334 SEXSMITH RD
MK TECHNOLOGIES LTD,MANUFACTURER  (1-464 SQ METRES),3405,3405 - Manufacturer,48306,,4072925,11-3396 SEXSMITH RD
QUALITY FURNITURE REFINISHING INC,REFINISHING FURNITURE,8029,8029 - Furniture Repair/Refinishing,48306,,4037042,105-3396 SEXSMITH RD
ATHENA CUSTOM FRAMING LTD,MANUFACTURER - PICTURE FRAMES AND MATTING,3405,3405 - Manufacturer,48306,,4059522,3396 SEXSMITH RD
ADVANCED SURVEYING LTD,CONSTRUCTION & ENGINEERING SURVEYOR,5099,5099 - Professional Services,48306,,4036706,3396 SEXSMITH RD
SU CASA CABINETS,WOOD MANUFACTURER - CABINETS,3405,3405 - Manufacturer,48306,,4026809,3396 SEXSMITH RD
HAWKEYE HOLDINGS LTD,BUILDING DESIGN,8024,8024 - Drafting and Design Service,48306,,4020090,3396 SEXSMITH RD
NICMA INTERNATIONALL HOLDINGS LTD DBA INSTA CONTAINER MODIFICATION,SALES OF SHIPPING CONTAINER MODIFICATION PRODUCTS,7205,7205 - Retail,48306,,4072989,3396 SEXSMITH RD
PRO CRETE LTD,CONTRACTOR - CEMENT/CONCRETE,1566,1566 - Contractors,48306,,4030005,3396 SEXSMITH RD
MACDONNELL TURF FARM,SOD FARM,8040,8040 - Landscaping/Garden  (Incl. Sale Shrubs),48314,,4019667,3345 BULMAN RD
JOSEFINA + CO,I make handmade hair scrunchies and accessories.,8032,8032 - Art and Home Handicrafts,48314,,4087570,3385 BULMAN RD
FACTION PROJECTS INC,DEVELOPMENT COMPANY,3350,3350 - Management Company - Property,48317,,4075920,3935 LAKESHORE RD
Z DECOR HOME FURNISHINGS,HOME FURNISHINGS,7205,7205 - Retail,48317,,4071853,3937 LAKESHORE RD
FACTION CONSTRUCTION,BUILDING CONTRACTOR,1566,1566 - Contractors,48317,,4075921,201-3935 LAKESHORE RD
FACTION ARCHITECTURE INC,ARCHITECT,5099,5099 - Professional Services,48317,,4075922,201-3935 LAKESHORE RD
BEGRAND FAST DESIGN INC,INTERIOR DECORATOR & DESIGN,1566,1566 - Contractors,48317,,4064795,202-3935 LAKESHORE RD
RYKON GROUP HOLDINGS INC,CONTRACTOR - BUILDING - USE FOR OFFICE ONLY,1566,1566 - Contractors,48317,,4037798,301-3935 LAKESHORE RD
HEIRLOOM CUSTOM HOMES LTD,BUILDING CONTRACTOR,1566,1566 - Contractors,48317,,4063870,302-3935 LAKESHORE RD
WHITE STAG AUTO BODY LTD,AUTOMOBILE BODY REPAIR & PAINT SHOP,300,"300 - Automobile Body Repair and Paint Shop, detailing or car wash",48321,,4000169,1140 BRANT AVE
SHALERIDGE AUTO SALES,AUTO DEALER - SECONDHAND & USED,500,500 - Auto Dealer - Secondhand & Used,48322,,4059851,1109 GORDON DR
IHS DESIGN,ARCHITECTURAL DESIGNER,5099,5099 - Professional Services,48343,,4065312,1392 MINE HILL DR
CARRIE DEJONG & ASSOCIATES INC,Virtual mental health counselling and coaching,2550,2550 - Health Services,48352,,4089335,1402 MINE HILL LANE
"RAHIMI, NASIR",SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,48353,,4089153,1398 MINE HILL LANE
CANDEL CUSTOM HOMES LTD,BUILDING CONTRACTOR,1566,1566 - Contractors,48360,,4068089,1352 MINE HILL DR
CANDEL COMMERCIAL INDUSTRIAL,Construction,1566,1566 - Contractors,48360,,4087352,1352 MINE HILL DR
"WATKINS, SCOTT",SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,48365,,4088351,1420 MINE HILL DR
ERIN STONEMAN PHOTOGRAPHY,"Birth, newborn and family photography",8062,"8062 - Photography, Audio and/or Video Engineering or Production",48371,,4086827,156-515 WREN PL
LAKE OKANAGAN REALTY LTD,REAL ESTATE AGENT - HBB MINOR,7005,7005 - Real Estate/Land Agent,48376,,4067994,155-515 WREN PL
ORIGINATION MORTGAGE CORP,HBB MINOR - MORTGATE BROKER,7705,7705 - Trust/Insurance/Investment/Loan/Mortgage Company,48401,,4070619,2250 ABBOTT ST
1171294 BC LTD.,GAS STATION CONVENIENCE STORE,7205,7205 - Retail,48427,,4084230,1708 INNOVATION DR
1171294 BC LTD.,GASOLINE OR FUEL SERVICE STATION,2300,2300 - Gasoline Or Fuel Service Station,48427,,4084229,1708 INNOVATION DR
1171294 BC LTD.,CAR WASH,300,"300 - Automobile Body Repair and Paint Shop, detailing or car wash",48427,,4084231,1708 INNOVATION DR
0929675 BC LTD,QSR SUBWAY RESTAURANT (1224 SQ METRES),7102,7102 - Restaurant,48427,,4085063,110-1720 INNOVATION DR
1186727 BC LTD. DBA A&W,A&W RESTAURANT,7102,7102 - Restaurant,48427,,4084567,120-1720 INNOVATION DR
PITA PIT,RESTAURANT - 140 SQ METRES OR LESS,7102,7102 - Restaurant,48427,,4084418,120-1708 INNOVATION DR
TRACEY LEIGH AUSTIN MASSAGE THERAPY SERVICES,REGISTERED MASSAGE THERAPY  (HBB MAJOR),5099,5099 - Professional Services,48428,,4084723,812 PARET RD
INTERIOR SAVINGS CREDIT UNION,BANKER / CREDIT UNION   1 - 25 EMPLOYEES,805,805 - Bank / Credit Union,48829,,4061062,500-1982 KANE RD
BOSLEY'S BY PETVALU,RETAIL   1 - 278 SQ. METRES,7205,7205 - Retail,48829,,4077357,505-1982 KANE RD
SAVE-ON-FOODS PHARMACY #2224,PHARMACY,7205,7205 - Retail,48829,,4080286,600-1984 KANE RD
GLENMORE CHIROPRACTIC INC,CHIROPRACTOR,5099,5099 - Professional Services,48829,,4064226,400-1980 KANE RD
KRISTA FRENCH KINESIOLOGY,KINESIOLOGIST,5099,5099 - Professional Services,48829,,4082538,400-1980 KANE RD
BRADEN WILSON MASSAGE THERAPY,OTHERS - MESSAGE THERAPIST,5099,5099 - Professional Services,48829,,4079122,400-1980 KANE RD
LITTLE OWL ACADEMY,DAY CARE (57 CHILDREN),1902,1902 - Child Care Services,48829,,4080162,615-1984 KANE RD
CONNECT HEARING,HEARING AID SALES,7205,7205 - Retail,48829,,4069611,410-1980 KANE RD
INTERIOR SAVINGS INSURANCE SERVICES INC.,INSURANCE BROKERS,7005,7005 - Real Estate/Land Agent,48829,,4077754,500-1982 KANE RD
SIMPLE PURSUITS INC INC. NO. BC 449611,APARTMENT,7310,7310 - Apartment,48832,,4078857,2127 ETHEL ST
THE CHARLES M HOTEL,APARTMENT/HOTEL,7306,"7306 - Hotel, Motel, Auto Court - Units Only",48843,,4077029,559 TRUSWELL RD
THE CLUBHOUSE CHILD CARE CENTER DBA THE CLUBHOUSE AT RAYMER,CHILD CARE - 40 CHILDREN,1902,1902 - Child Care Services,48844,,4073071,657 RAYMER AVE
LUNA PARK PRESCHOOL INC,PRESCHOOL (20 CHILDREN),1902,1902 - Child Care Services,48844,,4037795,657 RAYMER AVE
TOWER RANCH GOLF & COUNTRY CLUB,CLASS A  GOLF CLUB,3207,3207 - Liquor Licensed Recreational Club,48849,,4066476,1855 TOWER RANCH BLVD
DIGITAL CONCEPTS,COMPUTER PROGRAMMING - HBB MINOR,2650,2650 - Information Technology,48865,,4032061,1709 TOWER RANCH DR
1073538 B.C. LTD DBA ONE WAY RENOVATIONS,BUILDING CONTRACTOR - HBB MINOR,1566,1566 - Contractors,48881,,4063058,1789 TOWER RANCH DR
TFG FLOORING & INSTALLATION,Flooring Installation,1566,1566 - Contractors,48891,,4089076,42-1450 UNION RD
SHAWN TALBOT PHOTOGRAPHY LTD,COMMERCIAL PHOTOGRAPHY,8062,"8062 - Photography, Audio and/or Video Engineering or Production",48891,,4075952,29-1450 UNION RD
DAWN JEFFRIES,CONTRACTED PARALEGAL SERVICES - HBB MINOR,3340,"3340 - Management, Administration & Consultants",48891,,4082194,30-1450 UNION RD
CANDOR INSPECTION SERVICES INC.,Home Inspections,1566,1566 - Contractors,48905,,4087464,3528 LANDIE RD
CANADIAN TIRE PETROLEUM DBA 1052677 BC LTD,GAS BAR 8 HOSES,2300,2300 - Gasoline Or Fuel Service Station,48911,,4083519,2403 HIGHWAY 97 N
EXCEL RETAIL LIMITED,GARAGE (REPAIR),2204,2204 - Garage (Repair),48912,,4083934,1655 LECKIE RD
EXCEL RETAIL LIMITED,RETAIL,7205,7205 - Retail,48912,,4083933,1655 LECKIE RD
DECO WINDSHIELD REPAIR,WINDSHIELD REPAIRS (CANADIAN TIRE SITE),300,"300 - Automobile Body Repair and Paint Shop, detailing or car wash",48912,,4072692,1655 LECKIE RD
WGP 210 HOLDINGS LTD DBA TIM HORTONS,RESTAURANT - EXCESS OF 140 SQ. METRES,7102,7102 - Restaurant,48912,,4084274,2415 HIGHWAY 97 N
LANGUAGE FOR LIFE: ESL SERVICES,ENGLISH AS A SECOND LANGUAGE LEARNING FACILITY,8065,8065 - Commercial or Private Schools & Training Services,48913,,4084791,2429 HIGHWAY 97 N
1152575 BC LTD DBA CVTC KELOWNA,VOCATIONAL TRAINING,8065,8065 - Commercial or Private Schools & Training Services,48913,,4081413,2429 HIGHWAY 97 N
THE KANATA KELOWNA BY BCMINNS HOTEL AND CONFERENCE CENTRE,"HOTEL, MOTEL, AUTO COURT - UNITS ONLY",7306,"7306 - Hotel, Motel, Auto Court - Units Only",48913,,4081359,2429 HIGHWAY 97 N
THE KANATA KELOWNA BY BCMINNS HOTEL AND CONFERENCE CENTRE,"HOTEL, MOTEL, AUTO COURT - SECONDARY USAGE",7305,"7305 - Hotel, Motel, Auto Court - Secondary Usage",48913,,4081360,2429 HIGHWAY 97 N
DRAGON KING,RESTAURANT - EXCESS OF 140 SQ. METRES,7102,7102 - Restaurant,48913,,4083394,2435 HIGHWAY 97 N
ALL WEATHER BUILDING EXTERIORS LTD.,BUILDING CONTRACTOR - HBB MINOR,1566,1566 - Contractors,48922,,4081060,4578 GORDON DR
570324 BC LTD,LAND DEVELOPER,3340,"3340 - Management, Administration & Consultants",48938,,4065963,5704 JASPER WAY
BTM HOMES,Building Contractor,1566,1566 - Contractors,48939,,4087172,5667 MOUNTAINSIDE CRT
INFLEXION CONSULTING INC.,QUALITY MANAGEMENT CONSULTANT - HBB MINOR,3340,"3340 - Management, Administration & Consultants",48941,,4080461,5663 MOUNTAINSIDE CRT
BLUETAIL RESTAURANT LTD DBA BLUETAIL SUSHI,CLASS B - DINING LOUNGE (OVER 140 SQ M),3220,3220 - Liquor Primary Establishment (with a floor area over 140 sq. metres),48967,,4072079,102-1675 COMMERCE AVE
MADE IN INDIA RESTAURANT INC,RESTAURANT - EXCESS OF 140 SQ. METRES,7102,7102 - Restaurant,48967,,4080750,112-1677 COMMERCE AVE
TAKE 5 OIL CHANGE,OIL CHANGE SHOP,2204,2204 - Garage (Repair),48967,,4079204,101-1675 COMMERCE AVE
HELMUTS SAUSAGE KITCHEN,DELI COMBINED WITH RETAIL,7106,7106 - Restaurant Comb With Retail (Less than 47 Sq Metres),48967,,4072343,105-1675 COMMERCE AVE
COMMERCE LIQUOR STORE,BEER & WINE STORE,3255,3255 - Beer & Wine Store,48967,,4076291,107-1677 COMMERCE AVE
OKANAGAN FITNESS LTD DBA ANYTIME FITNESS,GYM - FITNESS FACILITY,2020,2020 - Fitness and Recreational Sports,48967,,4075175,110-1677 COMMERCE AVE
1210035 B.C. LTD DBA GREENERY CANNABIS BOUTIQUE,Retail Cannabis Sales Establishment,4215,4215 - Retail Cannabis Sales Establishment,48967,,4086658,113-1677 COMMERCE AVE
DIAMOND PARKING SERVICE,PARKING LOT,3700,3700 - Parking Lot,48985,,4077101,3030 PANDOSY ST
RICHMOND CUSTOM HOMES LTD,BUILDING CONTRACTOR - HBB MINOR,1566,1566 - Contractors,49007,,4081893,5-1150 MISSION RIDGE RD
FIRST DIMENSION GLASS,Glass installation,1566,1566 - Contractors,49013,,4087993,9-1150 MISSION RIDGE RD
SCHWING PLUMBING,Plumbing Contractor,1566,1566 - Contractors,49026,,4088316,335 DRYSDALE BLVD
CREATIVE SPARK ENERGY LTD,ELECTRICAL CONTRACTOR - HBB MINOR,1566,1566 - Contractors,49026,,4081855,504-337 DRYSDALE BLVD
ORCHARD CITY ELECTRIC LTD,Electrical Contractor,1566,1566 - Contractors,49026,,4088723,102-337 DRYSDALE BLVD
STUDIO 1 SOFTWARE,INFORMATION TECHNOLOGY - COMPUTER SOFTWARE/WEB DEVELOPMENT HBB MINOR,2650,2650 - Information Technology,49030,,4086242,31-300 DRYSDALE BLVD
SCENIC ROUTE JEWELLERY,"HOME HANDICRAFT - GOLDSMITH, HANDMADE JEWELLERY, WEDDING - HBB MINOR",8032,8032 - Art and Home Handicrafts,49030,,4084807,28-300 DRYSDALE BLVD
SAMANTHA MARKHAM PHOTOGRAPHY,Photography,8062,"8062 - Photography, Audio and/or Video Engineering or Production",49030,,4087945,9-300 DRYSDALE BLVD
RELIABLE MOVERS,MOVING COMPANY,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",49030,,4088659,8-300 DRYSDALE BLVD
"FERGUSON, LAUREN",Massage Therapy - Itinerant,5099,5099 - Professional Services,49030,,4086564,8-300 DRYSDALE BLVD
ONE CLICK CLEANERS,LAUNDRY OR DRY CLEANER,2900,2900 - Laundry or Dry Cleaner,49031,,4082476,103-1502 SUTHERLAND AVE
FUNKY PETALS,RETAIL   1 - 278 SQ. METRES,7205,7205 - Retail,49031,,4082472,102-1502 SUTHERLAND AVE
THE CO-OPERATORS,INSURANCE OFFICE,7005,7005 - Real Estate/Land Agent,49031,,4064801,201-1502 SUTHERLAND AVE
NORCAN VENTURES LTD,Office Rentals,3350,3350 - Management Company - Property,49031,,4088395,202-1502 SUTHERLAND AVE
GALLEON IMMIGRATION & REFUGEE SERVICES INC,IMMIGRATION CONSULTANCY,5099,5099 - Professional Services,49031,,4085758,202-1502 SUTHERLAND AVE
SUTHERLAND AVENUE CAR WASH,CAR WASH,300,"300 - Automobile Body Repair and Paint Shop, detailing or car wash",49032,,4075947,1506 SUTHERLAND AVE
THE BONE & BISCUIT COMPANY HOLDINGS INC.,OFFICE SPACE - SUPPORT AND SELL FRANCHISES,3340,"3340 - Management, Administration & Consultants",49037,,4078809,590 K.L.O. RD
DOLDEN WALLACE FOLICK LLP,Law Firm,5099,5099 - Professional Services,49037,,4088700,302-590 K.L.O. RD
ORANGETHEORY FITNESS KELOWNA,FITNESS AND RECREATION SPORTS CENTRE,2020,2020 - Fitness and Recreational Sports,49037,,4077851,115-590 K.L.O. RD
SIMPLE PURSUITS INC INC. NO. BC 449611,BUILDING CONTRACTOR,1566,1566 - Contractors,49037,,4059965,401-590 K.L.O. RD
WORMAN RESOURCES INC,BUILDING CONTRACTOR,1566,1566 - Contractors,49037,,4024111,401-590 K.L.O. RD
SM ESTHETICS,Medical Esthetics/Esthetics,850,850 - Beauty Parlour and/or Aesthetic Services,49037,,4089164,109-590 K.L.O. RD
OUTLAND DESIGN LTD,LANDSCAPE ARCHITECT,5099,5099 - Professional Services,49037,,4071951,303-590 K.L.O. RD
CANADIAN JEWELRY EXCHANGE (DORADO MARKETING),RETAIL - JEWELLERY & BROKER FOR PREOWNED JEWELLERY,7205,7205 - Retail,49037,,4025716,101-590 K.L.O. RD
CANADIAN JEWELRY EXCHANGE (DORADO MARKETING),BROKER PREOWNED JEWELRY (SECONDARY),2000,2000 - Second Hand/Junk Dealer,49037,,4061911,101-590 K.L.O. RD
BLISS BRIDAL LTD,BRIDAL GOWNS FORMAL WEAR,7205,7205 - Retail,49037,,4071530,107-590 K.L.O. RD
CARTER FINANCIAL SERVICES,INSURANCE AGENT 1-2,7705,7705 - Trust/Insurance/Investment/Loan/Mortgage Company,49037,,4078111,403-590 K.L.O. RD
BOUTIQUE ESTHETICS & TANNING LOUNGE LTD.,"HAIRSTYLIST, BARBER/BEAUTY PARLOUR",2400,2400 - Hairstylist or Barber,49037,,4079391,109-590 K.L.O. RD
PHREAQUENCY MEDIA,a multi-media design firm .,110,110 - Advertising and Marketing,49046,,4086944,12-4400 GALLAGHERS DR E
CHEERS FOR THE YEARS LIMITED,Event Planning,8000,"8000 - Personal, Household & Other Services",49046,,4087941,12-4400 GALLAGHERS DR E
GILL'S CAR DETAILING,CAR DETAILING - MOBILE - HBB MINOR,300,"300 - Automobile Body Repair and Paint Shop, detailing or car wash",49069,,4084035,1952 HENKEL RD
"COWDERY, DAVID F","Offering holistic care through counseling, life coaching, mentoring, and other psychotherapies.",2550,2550 - Health Services,49073,,4086521,1908 HENKEL RD
BROOKSIDE SENIOR CITIZENS HOUSING SOCIETY,SENIOR CITIZENS APARTMENT (44 SUITES),7320,7320 - Apartment - operated by non-profit society,49097,,4001510,1212 MOUNTAINVIEW ST
UNICAST INC,WHOLESALE OF INDUSTRIAL EQUIPMENT,7905,7905 - Wholesale,49098,,4057196,1200 MAYFAIR RD
ALTAR METAL FAB CO LTD,MANUFACTURER  (1-464 SQ METRES),3405,3405 - Manufacturer,49100,,4074494,867 STREMEL RD
0835688 BC LTD DBA BRITISH COLUMBIA TRAILER,SALES & SERVICE OF UTILITY & CARGO TRAILERS,7905,7905 - Wholesale,49101,,4068069,897 STREMEL RD
SOEI AUTO REPAIR LTD.,GARAGE (REPAIR),2204,2204 - Garage (Repair),49101,,4081698,897 STREMEL RD
INTERIOR SAVINGS INSURANCE SERVICES INC,"REAL ESTATE, LAND/INSURANCE AGENT 6-10",7005,7005 - Real Estate/Land Agent,49107,,4024167,103-595 K.L.O. RD
INTERIOR SAVINGS CREDIT UNION,CREDIT UNION - MISSION BRANCH,805,805 - Bank / Credit Union,49107,,4007828,103-595 K.L.O. RD
MISSION PARK DENTAL CLINIC,DENTISTS,5099,5099 - Professional Services,49107,,4074463,105-595 K.L.O. RD
E & H AUTOMOTIVE LTD DBA MR LUBE,OIL CHANGE FACILITY,2204,2204 - Garage (Repair),49111,,4080462,160-948 MCCURDY RD
WHITE SPOT TRIPLE O'S,RESTAURANT (INCLUDES TAKE-OUT & DRIVE THRU),7102,7102 - Restaurant,49111,,4034907,146-948 MCCURDY RD
"OSBORNE, BRANDY",MASSAGE THERAPIST - HBB MAJOR,5099,5099 - Professional Services,49124,,4073108,555 KNOWLES RD
LAKESHORE OUT OF SCHOOL CARE,CHILDCARE - EXCESS OF 16 CHILDREN,1902,1902 - Child Care Services,49127,,4078100,4409 LAKESHORE RD
K.L.O. FARM MARKET LTD,FRUITSTAND,2200,2200 - Farm Retail Sales,49155,,4083058,1760 K.L.O. RD
APPLE ORCHARD RV PARK,RV PARK (10 SPACES),7600,"7600 - Trailer, Mobile Home, and Tent  - Park or Campground",49157,,4071482,4390 WALLACE HILL RD
FORBIDDEN SPIRITS DISTILLING CO.,MANUFACTURER   (465-1858 SQ METRES),3405,3405 - Manufacturer,49157,,4081787,4400 WALLACE HILL RD
LISA ZOLLER OCCUPATIONAL THERAPIST,OCCUPATIONAL THERAPIST,5099,5099 - Professional Services,49184,,4084031,1282 MODERN PL
MANDALA MAMAS,"PRENATAL / POSTNATAL CARE,  YOGA, CONNECTION CIRCLES (MOBILE) - HBB MINOR",2550,2550 - Health Services,49185,,4081558,1278 MODERN PL
A&W RESTAURANT & DRIVE-IN,RESTAURANT - 92 SEATS,7102,7102 - Restaurant,49235,,4027119,2703 HIGHWAY 97 N
STARBUCKS COFFEE COMPANY #4640,COFFEE SHOP,7102,7102 - Restaurant,49235,,4062943,2709 HIGHWAY 97 N
BEST WESTERN PLUS - KELOWNA HOTEL & SUITES,HOTEL,7306,"7306 - Hotel, Motel, Auto Court - Units Only",49240,,4080000,2402 HIGHWAY 97 N
THE WELLNESS SPA,DAY SPA,850,850 - Beauty Parlour and/or Aesthetic Services,49240,,4032326,2402 HIGHWAY 97 N
97 STREET PUB,CLASS B - DINING LOUNGE (LESS 140 SQ M),3215,3215 - Liquor Primary Establishment (with a floor area of 140 sq. metres or less),49240,,4080477,2400 HIGHWAY 97 N
CURRENT TAXI LTD,TAXI SERVICE,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",49240,,4079101,201-2402 HIGHWAY 97 N
JESS,HAIRSTYLIST - ITINERANT - MOBILE HBB MINOR,2500,2500 - Hairstylist - Itinerant,49242,,4085669,407-925 LEON AVE
NEIL SLATTERY PHOTOGRAPHY,Wedding Photography,8062,"8062 - Photography, Audio and/or Video Engineering or Production",49242,,4087857,502-925 LEON AVE
REVERIE LASH STUDIO,ESTHETICS - LASH STUDIO,2400,2400 - Hairstylist or Barber,49242,,4082779,1685 ETHEL ST
RICK JASWAL HOUSING,Short term rental,7317,7317 - Short-Term Rental - Non-Principal Residence,49242,,4086790,621-925 LEON AVE
JASVINDER SINGH HOTHI,SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,49242,,4085593,334-925 LEON AVE
LUAR BODY PIERCING INC.,TATTOO & PIERCING,850,850 - Beauty Parlour and/or Aesthetic Services,49242,,4082432,1665 ETHEL ST
"PRESTON, ADRIANA",Short term Rental  - Non-Principal Residence,7317,7317 - Short-Term Rental - Non-Principal Residence,49242,,4087500,532-925 LEON AVE
"DICK, LEE",SHORT-TERM RENTAL - NON-PRINCIPAL RESIDENCE,7317,7317 - Short-Term Rental - Non-Principal Residence,49242,,4087705,335-925 LEON AVE
"MCWILLIAMS, TEENA",SHORT-TERM RENTAL - NON-PRINCIPAL RESIDENCE,7317,7317 - Short-Term Rental - Non-Principal Residence,49242,,4088210,613-925 LEON AVE
KRISTIAN MATIS,SHORT-TERM RENTAL - NON-PRINCIPAL RESIDENCE,7317,7317 - Short-Term Rental - Non-Principal Residence,49242,,4083234,635-925 LEON AVE
WEST COAST HOME LIVING,SHORT-TERM RENTAL - NON-PRINCIPAL RESIDENCE,7317,7317 - Short-Term Rental - Non-Principal Residence,49242,,4082048,323-925 LEON AVE
"JHAJ, INDER",SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,49242,,4089181,434-925 LEON AVE
DIANE & JASON CHRISTENSEN,SHORT-TERM RENTAL - NON-PRINCIPAL RESIDENCE,7317,7317 - Short-Term Rental - Non-Principal Residence,49242,,4083647,633-925 LEON AVE
1057980 BC LTD,SHORT-TERM RENTAL - NON-PRINCIPAL RESIDENCE,7317,7317 - Short-Term Rental - Non-Principal Residence,49242,,4087703,606-925 LEON AVE
"BANFIELD, HENRY","Videography, video production and video marketing",8062,"8062 - Photography, Audio and/or Video Engineering or Production",49242,,4087745,630-925 LEON AVE
KEYS TO KELOWNA PROPERTIES INC,Short-term rental property,7317,7317 - Short-Term Rental - Non-Principal Residence,49242,,4088061,645-925 LEON AVE
ANYCLOUD CO,IT / Cloud freelancer/contractor on Upwork or via anycloudco.com,2650,2650 - Information Technology,49242,,4087501,321-925 LEON AVE
REIDS CORNER LIQUOR STORE,CLASS G - BEER & WINE STORE,3255,3255 - Beer & Wine Store,49243,,4077530,103-3699 HIGHWAY 97 N
SUBWAY,RESTAURANT - EXCESS OF 140 SQ. METRES,7102,7102 - Restaurant,49243,,4061193,101-3699 HIGHWAY 97 N
1200675 B.C.  LTD,RETAIL   1 - 278 SQ. METRES,7205,7205 - Retail,49243,,4083021,102-3699 HIGHWAY 97 N
OK PIZZA COMPANY LTD,RETAIL   1 - 278 SQ. METRES,7205,7205 - Retail,49243,,4076997,104-3699 HIGHWAY 97 N
ABB POWER GRIDS CANADA INC.,COMMERCIAL ELECTRICAL REPAIR SERVICE,8052,8052 - Machine & Equipment Sales/Service,49244,,4071851,2-1990 LANDSDOWNE PL
UNITEC CANADA FRUIT AND VEGETABLE TECHNOLOGY INC,WAREHOUSE AND OFFICE SPACE,7850,7850 - Warehousing,49244,,4084039,3-1990 LANDSDOWNE PL
DESTINATION CUSTOM HOMES OKANA,Single Family Construction,1566,1566 - Contractors,49252,,4088411,1428 FAWN RUN DR
M WEISS MASONRY INC,CONTRACTOR - BRICKLAYER - HBB MINOR,1566,1566 - Contractors,49260,,4029868,1-3990 SWAMP RD
PILLAR TO POST OKANAGAN,PROFESSIONAL HOME INSPECTIONS - HBB MINOR,1566,1566 - Contractors,49285,,4030220,1482 ROCKY POINT DR
R340 ENTERPRISES LTD DBA HEALTHY HOMES INDOOR AIR QUALITY,BUILDING INSPECTIONS & AIR TESTING - HBB MINOR,1566,1566 - Contractors,49285,,4066242,1482 ROCKY POINT DR
FAWDRY HOMES LTD,CONTRACTOR - BUILDING,1566,1566 - Contractors,49296,,4014774,1462 ROCKY POINT DR
CHATHAM HOMES ON THE HILL LTD,CONTRACTOR - BUILDING,1566,1566 - Contractors,49299,,4021664,1458 ROCKY POINT DR
BLENK DEVELOPMENT CORPORATION,LAND DEVELOPMENT - HBB MINOR,1566,1566 - Contractors,49302,,4060200,1454 ROCKY POINT DR
WILDEN CONSTRUCTION CORP,GENERAL CONTRACTOR - HBB MINOR,1566,1566 - Contractors,49302,,4065844,1454 ROCKY POINT DR
PRESTIGE ACCOUNTING & TAX SERVICES,ACCOUNTANTS (KIOSK - CAPRI MALL),5099,5099 - Professional Services,49316,,4079226,1835 GORDON DR
MAPLE REINDERS CONSTRUCTORS LTD,INDUSTRIAL CONTRACTOR,1566,1566 - Contractors,49316,,4025351,1835 GORDON DR
