BusinessName,BusinessDescription,Address,Phone,Naics,NaicsDescription,BusinessType,FullTime,PartTime
Tom Stone Inc,Wholesale of quartz stone (slab),12191 Vulcan Way   Richmond BC  V6V 1J7,604-767-2233,416390,Other specialty-line building supplies merchant wholesalers,Wholesale Trading,2,1
Tom's Landscaping Co,"Planting Trees, mowing lawns, clean up for garden; erect fence, etc.  All gardening work.",11599 Seafield Cr   Richmond BC  V7A 3J1,604-723-6806,561730,Landscaping services,General Contractor,1,0
Tom-Mac Shipyard Ltd,Boat building and repair,17011 River Rd   Richmond BC  V6V 1L8,604-278-1516,336612,Boat building,,8,4
Tomko Sports Systems Inc,installations of athletic surfaces,6660 Graybar Rd Unit 165 Richmond BC  V6W 1H9,604-273-0257,238330,Flooring contractors,General Contractor,4,0
Tommy Hilfiger #752,retail clothing & accessory store,7899 Templeton Station Rd Unit 1007 Richmond BC  V7B 0B7,908-698-6702,448140,Family clothing stores,Retail Trading,33,0
Toms Investment Group Inc,General contractor (residential),10331 Seaham Cr   Richmond BC  V7A 3Y4,,236110,Residential building construction,General Contractor,2,0
Ton On Enterprises Ltd,Chinese Herb And Health Store,4151 Hazelbridge Way Unit 1300 Richmond BC  V6X 4J7,604-273-3988,445299,All other specialty food stores,Retail Trading,4,0
Tonly Industry Ltd,Wholesale Hardware,11220 Voyageur Way Unit 11 Richmond BC  V6X 3E1,604-231-0660,416330,Hardware merchant wholesalers,Wholesale Trading,3,0
Tony Chen Management Ltd,residential and commercial renovations,9091 Patterson Rd   Richmond BC  V6X 1P8,604-303-0200,236110,Residential building construction,General Contractor,1,1
Tony Garden Services,landscape gardener,3571 Scratchley Cr   Richmond BC  V6X 3T2,604-278-8722,561730,Landscaping services,General Contractor,2,0
Tony Lau Insurance Agencies Ltd,Insurance Agency,6060 Minoru Blvd Unit 1770 Richmond BC  V6Y 2V7,604-244-7222,524210,Insurance agencies and brokerages,,3,0
TonyMoly,Sales of cosmetic products,4151 Hazelbridge Way Unit 2460 Richmond BC  V6X 4J7,647-622-1092,446120,"Cosmetics, beauty supplies and perfume stores",Retail Trading,3,5
Too Two Gourmet Inc,Restaurant,4940 No 3 Rd Unit 101 Richmond BC  V6X 3A5,604-805-5188,722511,Full-service restaurants,Food Service Establishment,8,0
Tooth King Dental Studio Ltd,Storage use only for dental products,8888 Odlin Cr Unit 3160 Richmond BC  V6X 3Z8,778-985-8321,493110,General warehousing and storage,,1,1
Top 147 Snooker And Billiards Club,Selling cues accessories for billiards,4351 No 3 Rd Unit 110 Richmond BC  V6X 3A7,604-232-1147,451119,All other sporting goods stores,Retail Trading,4,0
Top 147 Snooker And Billiards Club,4 amusement machines,4351 No 3 Rd Unit 110 Richmond BC  V6X 3A7,604-232-1147,713120,Amusement arcades,Amusement Centre,1,0
Top 457 Driving School,Driver training and road test service,7633 Eperson Rd   Richmond BC  V7C 2K5,778-892-3322,611690,All other schools and instruction,Vehicle For Hire Office,1,0
Top C Delivery,Delivery service- Office only,3088 Airey Dr Unit 63 Richmond BC  V6X 4A3,604-880-4163,492210,Local messengers and local delivery,,1,0
Top Colour Printing,Printing services,8888 Odlin Cr Unit 1090 Richmond BC  V6X 3Z8,604-277-4413,323119,Other printing,,2,0
Top Gear Enterprises Inc,Automobile Retailer,21000 Westminster Hwy Unit 2115 Richmond BC  V6V 2S9,778-892-9899,441110,New car dealers,Automobile Dealer,2,0
Top Gun J & C Restaurant,Japanese and Chinese Restaurant,8766 McKim Way Unit 2020 Richmond BC  V6X 4G4,604-244-0026,722511,Full-service restaurants,Food Service Establishment,20,5
Top Hat Bus Charter & Shuttle (Vancouver) Ltd,Charter mini-bus service office only,6081 No 3 Rd Unit 601 Richmond BC  V6Y 2B2,604-718-2788,485510,Charter bus industry,Vehicle For Hire Office,4,0
Top Level Performance Institute Inc,"Hockey Training - Skating treadmill, shooting and stickhandling. ",6851 Elmbridge Way Unit 120 Richmond BC  V7C 4N1,604-340-9182,713940,Fitness and recreational sports centres,Health Studio,2,2
Top Line Travel Service Ltd,Travel Agency,8297 Saba Rd Unit 1405 Richmond BC  V6Y 4B5,604-285-7991,561510,Travel agencies,Travel Agency,1,0
Top One Auto LTD.,"Automotive buying and selling
",21320 Westminster Hwy Unit 2103 Richmond BC  V6V 2X5,,441110,New car dealers,Automobile Dealer,1,0
Top Shanghai Cuisine Restaurant,Restaurant,8100 Ackroyd Rd Unit 120 Richmond BC  V6X 2E1,604-278-8798,722511,Full-service restaurants,Food Service Establishment,14,8
Top Ten Development Ltd,Renovation contractor - commercial & residential,10522 Odlin Rd   Richmond BC  V6X 1E2,604-618-8733,236220,Commercial and institutional building construction,General Contractor,1,0
Top Trading Co Ltd,"Import & distribute - hardware, nails, tools",11220 Voyageur Way Unit 2 Richmond BC  V6X 3E1,604-626-3887,416330,Hardware merchant wholesalers,Wholesale Trading,2,1
Top Vision Developments Inc,Construction & developments of residential & commercial buildings,10691 Shellbridge Way Unit 150 Richmond BC  V6X 2W8,604-284-5268,236220,Commercial and institutional building construction,General Contractor,5,0
Top Vision Immigration Consulting Inc,Immigration Service,10691 Shellbridge Way Unit 150 Richmond BC  V6X 2W8,604-284-5268,541190,Other legal services,,1,0
Top Vision Realty Inc,Real Estate Services - Sales/Property Management,8280 Westminster Hwy Unit 2 Richmond BC  V6X 3W3,604-284-5268,531212,Offices of real estate brokers,Property Management,2,0
Top Western Cultural Exchange Inc,consulting service- linking the businesses from China to Canada,6081 No 3 Rd Unit 627 Richmond BC  V6Y 2B2,604-713-8383,541611,Administrative management and general management consulting services,,2,0
Tophill Construction Ltd,General contractor- build new house/single family,2551 Vauxhall Pl Unit 1 Richmond BC  V6V 1Z5,778-919-0521,236110,Residential building construction,General Contractor,1,0
TopLink,"Intelligent electronic products, systems integration services, cellphone accessories, computer software development and related technology consulting services.",6061 No 3 Rd Unit 200 Richmond BC  V6Y 2B2,778-798-8268,541990,"All other professional, scientific and technical services",,3,0
Toppro Education Academy Ltd,"Online Tutoring (via skype), and organizing self-employed teachers to go to students home",9580 Alberta Rd Unit 1 Richmond BC  V6Y 1T6,604-306-0223,611690,All other schools and instruction,Home Occupation,1,0
Tops Aluminum Railings Ltd,Manufacture and install railings,2560 Shell Rd Unit 3023 Richmond BC  V6X 0B8,604-525-2896,332329,Other ornamental and architectural metal product manufacturing,,4,0
Tops Renovation Ltd,"Office Use for General Contractor Business (Renovation, demolition, drywall, painting, flooring)",8700 McKim Way Unit 1018 Richmond BC  V6X 4A5,604-889-8825,236110,Residential building construction,General Contractor,1,0
Topsources Lab Inc,Import and distribute printer related products consumables to business uses and dealers  inventory printer consumables ink cartridges toner cartridges,12838 Clarke Pl Unit 143 Richmond BC  V6V 2H1,604-273-8631,418220,Other paper and disposable plastic product merchant wholesalers,Wholesale Trading,4,1
Toptrim Upholstery Ltd,Manufacturing Upholstery Shop,4631 Shell Rd Unit 155 Richmond BC  V6X 3M4,604-270-0020,811121,"Automotive body, paint and interior repair and maintenance",,1,1
Topview Network Inc,E-commerce: Customer order online at website and deliver,14488 Knox Way Unit 123 Richmond BC  V6V 2Z5,604-276-0466,413190,Other specialty-line food merchant wholesalers,Wholesale Trading,3,0
Topview Technology Corp,small appliance wholesale and trading,14488 Knox Way Unit 123 Richmond BC  V6V 2Z5,604-231-5858,414220,Household appliance merchant wholesalers,Wholesale Trading,1,0
Topwin Trading Co Ltd,"Wholesale Trading (Chinese Herbal Products - Dried goods, herbs, medicines)",11180 River Rd Unit 2140 Richmond BC  V6X 1Z5,604-303-1089,414520,"Toiletries, cosmetics and sundries merchant wholesalers",Wholesale Trading,11,0
Toronto Dominion Bank,Bank,10151 No 3 Rd Unit 113 Richmond BC  V7A 4R6,604-654-3180,522111,Personal and commercial banking industry,,7,3
Toronto Dominion Bank,Bank,3779 Sexsmith Rd Unit 2100 Richmond BC  V6X 3Z9,604-654-3180,522111,Personal and commercial banking industry,,14,6
Toronto-Dominion Bank,Bank,5991 No 3 Rd   Richmond BC  V6X 2E3,604-654-3180,522111,Personal and commercial banking industry,,38,6
Torre & Tagus Designs Ltd ,"Gift wholesale: candles, candle holders, picture frames",11188 Featherstone Way Unit 150 Richmond BC  V6W 1K9,604-273-4777,418990,All other merchant wholesalers,Wholesale Trading,20,7
Torrent Physical Therapy Incorporated,Athletic and exercise therapy in a private clinic,3671 Westminster Hwy Unit 120 Richmond BC  V7C 5V2,778-297-6786,621340,"Offices of physical, occupational, and speech therapists and audiologists",,0,1
Tory Burch,Retailer of apparel and accessories,7899 Templeton Station Rd Unit 1120 Richmond BC  V7B 0B7,604-214-1345,448120,Women's clothing stores,Retail Trading,7,24
Total Life Care Grandville Medical Inc,Full scope family practice office and walk-in clinic,8120 Cook Rd Unit 120 Richmond BC  V6Y 1T9,604-416-2662,621110,Offices of physicians,,2,3
Total Reflexation Wellness Centre,Reflexology,7900 Westminster Hwy Unit 130 Richmond BC  V6X 1A1,604-231-1929,812190,Other personal care services,Therapeutic Touch Treatments,1,0
Total Reliance Development Corporation,"New home construction, renovation, and any small construction-related services - residential and commercial",5160 Hollyfield Ave   Richmond BC  V7E 4T8,236-999-1798,236110,Residential building construction,General Contractor,1,1
Total Soccer,soccer instruction to individuals & teams,1751 Savage Rd Unit 115 Richmond BC  V6V 1R1,604-838-5801,611620,Athletic instruction,Health Studio,3,10
Touch of Class Florist,Retail Florist,8011 No 1 Rd Unit 118 Richmond BC  V7C 1T8,604-277-9618,453110,Florists,Retail Trading,1,0
Touch Of Flowers,"Selling flowers, produce and groceries",9951 Williams Rd Unit 105 Richmond BC  V7A 1H3,604-370-4588,445120,Convenience stores,Retail Trading,3,0
Tough Metal Enterprise Ltd,Roofing and Gutters,9091 Wagner Gate   Richmond BC  V7A 4R4,778-522-8881,238990,All other specialty trade contractors,Home Occupation,1,0
Tour Click,Travel Agent Office,2631 Viking Way Unit 118 Richmond BC  V6V 3B5,604-566-9554,561510,Travel agencies,Travel Agency,4,0
Tour East Holidays ,Retail/wholesale travel agency,13560 Maycrest Way Unit 1205 Richmond BC  V6V 2W9,604-295-8388,561510,Travel agencies,Travel Agency,4,0
Tourism Richmond,"non-profit, membership driven organization whose mandate is to position & market Richmond as a visitor destination",5811 Cooney Rd Unit 205 Richmond BC  V6X 3M1,604-821-5474,561590,Other travel arrangement and reservation services,,8,2
Tourland Travel Ltd,Providing assistance in Japanese to customers at both the international & domestic terminals ,3880 Grant McConachie Way   Richmond BC  V7B 0A5,604-276-9592,561590,Other travel arrangement and reservation services,,5,0
Tourland Travel Ltd,Tourguide service to Japanese clients,8899 Odlin Cr   Richmond BC  V6X 3Z7,604-276-9592,561520,Tour operators,,56,5
Tourland Travel Ltd,Providing tour buses & vans,8899 Odlin Cr   Richmond BC  V6X 3Z7,604-276-9592,485510,Charter bus industry,Vehicle For Hire Office,1,0
Toxik Design Laboratory,Custom painting of bicycles,2900 Smith St Unit 4 Richmond BC  V6X 2Z6,604-272-7840,238990,All other specialty trade contractors,,1,0
Toyko Allure Hair Salon Ltd,Hair cut perm colour,6060 Minoru Blvd Unit 1778 Richmond BC  V6Y 2V7,604-284-5567,812115,Beauty salons,,4,2
Toyo Tires,Wholesale tire distribution centre,7791 Nelson Rd Unit 120 Richmond BC  V6W 1G3,604-304-1941,415210,Tire merchant wholesalers,Wholesale Trading,19,2
Toyota Cafe,Cafe services to employees in Toyota ,6320 Fraserwood Pl   Richmond BC  V6W 1J4,604-278-6211,722511,Full-service restaurants,Food Service Establishment,2,0
Toyota Credit Canada Inc,Wholesale & retail automotive financing,6200 Fraserwood Pl   Richmond BC  V6W 1J4,604-278-0008,522220,Sales financing,,2,0
Toys Centre,retailing toys - obtained from vending machines,8260 Westminster Hwy Unit 1370 Richmond BC  V6X 3Y2,604-618-8879,451120,"Hobby, toy and game stores",Vending Machines,1,1
Toys R Us (Canada) Ltd,Retail Toys,5300 No 3 Rd Unit 315 Richmond BC  V6X 2X9,604-654-4790,451120,"Hobby, toy and game stores",Retail Trading,12,20
TPI Global,Travel Agency,8899 Odlin Cr   Richmond BC  V6X 3Z7,604-276-0300,561510,Travel agencies,Travel Agency,12,0
TPI Travel (Canada),Travel Agent,8899 Odlin Cr   Richmond BC  V6X 3Z7,604-276-0300,561510,Travel agencies,Travel Agency,1,0
Trade of Membrane Switch,Trade of membrane switch to customers in USA,8771 Saunders Rd   Richmond BC  V7A 2A6,604-232-9956,419120,Wholesale trade agents and brokers,Home Occupation,1,0
Trading Post Marketing Ltd,Publishing/Marketing Monthly Newspaper,12180 Horseshoe Way Unit 4 Richmond BC  V7A 4V5,604-277-8608,511120,Periodical publishers,,5,0
Trafa Pharmaceutical Inc,wholesale distributor or raw materials for health supplements,14273 Knox Way Unit 128 Richmond BC  V6V 2Z4,604-278-9100,419120,Wholesale trade agents and brokers,Wholesale Trading,19,3
Trail Appliances,Retail appliances & rental service,3388 Sweden Way   Richmond BC  V6V 0B2,604-278-6133,443143,"Appliance, television and other electronics stores",Retail Trading,56,2
Tramonto Restaurant,Italian Restaurant,8811 River Rd   Richmond BC  V6X 3P8,604-247-8900,722511,Full-service restaurants,Food Service Establishment,15,4
Trane Renovation,General contractor - renovations residential & commercial,5111 Maple Rd Unit 31 Richmond BC  V7E 5Z8,604-765-7851,236220,Commercial and institutional building construction,General Contractor,2,0
Tranlight Education,Online tutoring,10788 No 5 Rd Unit 811 Richmond BC  V6W 0B7,905-966-5270,611690,All other schools and instruction,Home Occupation,2,0
Tranquil Health Chinese Medicine & Acupuncture,"Acupuncture, Chinese Medicine, massage and facials",4000 No 3 Rd Unit 5115 Richmond BC  V6X 0J8,604-568-2148,621390,Offices of all other health practitioners,,1,0
Tranquility by YVR Airport,Bed & Breakfast - 3 rooms,11200 Bird Rd   Richmond BC  V6X 1N8,604-396-9612,721191,Bed and breakfast,Bed & Breakfast,1,1
Trans - Interlink Business Agencies Ltd,"display samples and retail, sell samples of packaged food  + supplements",8700 McKim Way Unit 1001 Richmond BC  V6X 4A5,604-332-9609,445299,All other specialty food stores,Retail Trading,1,0
Trans Canadian Distributors,"online retail eyeware, smartphone and tv screen cleaner.  office only.",5800 Andrews Rd Unit 127 Richmond BC  V7E 6M2,604-218-2250,419120,Wholesale trade agents and brokers,Home Occupation,1,1
Trans-Canada Construction Corp,Construction building residential house,4420 Coventry Dr   Richmond BC  V7C 4R2,778-891-3222,236110,Residential building construction,General Contractor,2,0
Trans-Pacific Trading Ltd,Export Logs/Lumber - Import & Sales Of Commercial Fishing Equipment,13091 Vanier Pl Unit 368 Richmond BC  V6V 2J1,604-232-5400,419120,Wholesale trade agents and brokers,,24,0
Transaction Heroes Fulfillment Corporation,"E-commerce fulfillment, shipping, logistics, and customer service",12495 Horseshoe Way   Richmond BC  V7A 4X6,604-908-5745,488519,Other freight transportation arrangement,,14,5
Transcan Motorsports Group Inc,Wholesale of machinery attachments.  Automotive shop equipment and machinery attachments not for automobiles.,6333 Graybar Rd Unit 140 Richmond BC  V6W 1H3,604-998-7541,493110,General warehousing and storage,Wholesale Trading,2,0
Transcontinental Flexstar Inc,Manufacturing of flexible plastic packaging,13320 River Rd   Richmond BC  V6V 1K4,604-273-9277,326198,All other plastic product manufacturing,,84,0
Transcontinental Flexstar Inc,Manufacturing of flexible packaging,13331 Vulcan Way Unit 14 Richmond BC  V6V 1K4,604-273-9277,326198,All other plastic product manufacturing,,45,0
Translink Shipping (Canada) Inc,Freightforwarding - ocean/air transportation - import/export documentation,10691 Shellbridge Way Unit 210 Richmond BC  V6X 2W8,604-270-6168,488519,Other freight transportation arrangement,,9,0
Translinks International Customs Brokers Ltd,Licensed customs broker since 1997 relocating from vancouver to richmond bc,8888 Odlin Cr Unit 3280 Richmond BC  V6X 2Z8,604-688-8823,488519,Other freight transportation arrangement,,2,2
Transoft Solutions Inc,Development & Sale of engineering software,13700 International Pl Unit 350 Richmond BC  V6V 2X8,604-244-8387,511211,Software publishers (except video game publishers),,63,3
Transpacific International Services Inc,Custom Broker & Freight Forwarding,5000 Miller Rd Unit 2030 Richmond BC  V7B 1K6,604-270-6811,488519,Other freight transportation arrangement,,7,1
Transpacific Wealth Express Financial Group Inc,Sell insurance products & RESP,6081 No 3 Rd Unit 728 Richmond BC  V6Y 2B2,604-303-7981,524210,Insurance agencies and brokerages,,3,1
Transport Services and Logistics Canada Ltd,Freight Forwarding,3757 Jacombs Rd Unit 230 Richmond BC  V6V 2R3,604-370-1713,488519,Other freight transportation arrangement,,1,0
Transup Express,Courier Service,7531 Francis Rd   Richmond BC  V6Y 1A1,778-903-0688,492110,Couriers,Delivery Services,1,0
Transvan Development Ltd,General Contractor - residential,8331 Rosebank Cr   Richmond BC  V7A 2K8,778-859-5015,236110,Residential building construction,General Contractor,1,0
Transworld Imports Inc,"Import/Wholesale General Merchandise - linesn, housewares, hospitality amentities ",22071 Fraserwood Way   Richmond BC  V6W 1J5,604-272-3432,418990,All other merchant wholesalers,Wholesale Trading,17,0
Travel And Leisure #649,Retail sales of luggage & souvenir items,3880 Grant McConachie Way   Richmond BC  V7B 0A5,604-214-9690,448320,Luggage and leather goods stores,Retail Trading,15,0
Travelab,"retail store selling luggage, travel accessories & apparel",3880 Grant McConachie Way   Richmond BC  V7B 0A5,604-273-4420,448199,All other clothing stores,Retail Trading,2,0
Travois,Wholesale camping equipment for RV,21000 Westminster Hwy Unit 2170 Richmond BC  V6V 2S9,604-837-2942,414470,Amusement and sporting goods merchant wholesalers,Wholesale Trading,2,0
Treasure Court Fashion,retailing clothing & accessories,4380 No 3 Rd Unit 1445 Richmond BC  V6X 3V7,604-278-7706,448120,Women's clothing stores,Retail Trading,2,0
Treasure Mart Ltd,Wholesaler of Craft & Hobby Supplies,12300 Horseshoe Way Unit 113 Richmond BC  V7A 4Z1,604-272-5212,414460,Toy and hobby goods merchant wholesalers,Wholesale Trading,3,3
Tree Island Industries Ltd,Manfacturing Cable/Rope Products,3933 Boundary Rd   Richmond BC  V6V 1T8,604-524-3744,331222,Steel wire drawing,,360,10
Trees Organic Coffee,Admin office for Cafe located in Vancouver,3920 Pacemore Ave   Richmond BC  V7C 1P2,,561110,Office administrative services,Home Occupation,1,0
Treliving Management Services,Administrative management and general management consulting services,10760 Shellbridge Way Unit 100 Richmond BC  V6X 3H1,604-270-1108,541611,Administrative management and general management consulting services,,9,0
Trendsetter Homes Ltd,New home construction (residential),3571 Richmond St   Richmond BC  V7E 2W3,604-970-3058,236110,Residential building construction,General Contractor,1,0
TRES Community Solutions,"Provision of community development and community infrastructure development planning, consulting, project, advisory, grant writing and multi-stakeholder engagement services",7760 Granville Ave Unit 202 Richmond BC  V6Y 4C2,604-773-8240,523930,Investment advice,Home Occupation,1,0
Treviso Development Group Ltd,General Contractor (Residential and Commercial),9480 Diamond Rd   Richmond BC  V7E 1P6,604-700-8488,236220,Commercial and institutional building construction,General Contractor,2,0
Trevor Reid Physiotherapy,Mobile Physiotherapist independent contractor,7360 Elmbridge Way Unit 1003 Richmond BC  V6X 0A5,604-897-2109,621340,"Offices of physical, occupational, and speech therapists and audiologists",Home Occupation,1,0
Treyo Trading Group Inc,"retail of soft drinks, tea, coffee, packaged snacks",8171 Alexandra Rd Unit 102 Richmond BC  V6X 1C3,604-285-9903,445299,All other specialty food stores,Retail Trading,2,0
Treyo Trading Group Inc,Renting 2 tables for playing Mahjong,8171 Alexandra Rd Unit 102 Richmond BC  V6X 1C3,604-285-9903,532490,Other commercial and industrial machinery and equipment rental and leasing,Commercial Entertainment,1,1
Treyo Trading Group Inc,"Retail automatic majong table, etc.",8171 Alexandra Rd Unit 102 Richmond BC  V6X 1C3,604-285-9903,451120,"Hobby, toy and game stores",Retail Trading,2,0
Treyo Trading Group Inc,Rent Mahjong Tables and Teaching Services,11871 Horseshoe Way Unit 1109 Richmond BC  V7A 5H5,604-285-9903,611690,All other schools and instruction,,2,0
Tri - R Screenprint Ltd,Print shop,20800 Westminster Hwy Unit 2143 Richmond BC  V6V 2W3,604-533-3116,323119,Other printing,,2,0
Tri-Mor Sales Ltd,Manufacturing Agent,4471 No 6 Rd Unit 125 Richmond BC  V6V 1P8,604-276-9559,419120,Wholesale trade agents and brokers,,2,0
Tri-Star Seafood Supply Ltd,Wholesale seafood,11751 Voyageur Way   Richmond BC  V6X 3J4,604-273-3324,413140,Fish and seafood product merchant wholesalers,Wholesale Trading,45,0
Triangle Research International Inc,"Importing from Singapore, take phone and fax orders for industrial control components, office admin, telemarketing",11871 Horseshoe Way Unit 2109 Richmond BC  V7A 5H5,604-278-0001,419120,Wholesale trade agents and brokers,,4,0
Tribe Fitness,"Fitness training, nutrition guidance, supplementary exercise program creation/design",3771 Jacombs Rd Unit 420 Richmond BC  V6V 2L9,778-858-7473,713940,Fitness and recreational sports centres,Health Studio,1,0
Trick or Treat or Gift,"Retail-selling bulk candies, individual packing candies, gift set candies, etc.",4000 No 3 Rd Unit 1170 Richmond BC  V6X 0J8,778-918-6088,311352,Confectionery manufacturing from purchased chocolate,Retail Trading,1,2
Trick or Treat or Gift,Gift store,4000 No 3 Rd Unit 3215 Richmond BC  V6X 0J8,778-918-6088,453220,"Gift, novelty and souvenir stores",Retail Trading,1,2
TricorBraun Flex,wholesaling flexible packaging material & pouch,23000 Fraserwood Way Unit 125 Richmond BC  V6V 3C7,604-522-1218,418410,Chemical (except agricultural) and allied product merchant wholesalers,Wholesale Trading,10,2
Trident Millwork & Display Ind Ltd,Furniture and equipment installation,11140 River Rd   Richmond BC  V6X 1Z5,604-276-2855,238299,All other building equipment contractors,General Contractor,3,0
Trident Millwork & Display Ind Ltd,Manufacturing Furniture & Display Products,11140 River Rd   Richmond BC  V6X 1Z5,604-276-2855,337126,Household furniture (except wood and upholstered) manufacturing,,40,0
Trigger Airsoft,Wholesale of airsoft goods,13500 Maycrest Way Unit 155 Richmond BC  V6V 2N8,604-370-1891,414110,Clothing and clothing accessories merchant wholesalers,Wholesale Trading,2,2
Trilliant Wealth Management Ltd,Financial Services,4940 No 3 Rd Unit 300 Richmond BC  V6X 3A5,604-897-5586,523990,All other financial investment activities,,3,0
Trillionman International Trading Corp,distributor of personal healthy products - food bars nutritional supplements,9711 Haddon Crt   Richmond BC  V7E 6H5,604-233-0226,419120,Wholesale trade agents and brokers,Home Occupation,1,1
Trim - Line Graphics Of Vancouver Inc,Production & installation of digital signs & graphics,21600 Westminster Hwy Unit 125 Richmond BC  V6V 0A2,604-875-1153,541490,Other specialized design services,,7,5
Trimark Development Ltd,General Contractor (residential),8151 Cathay Rd   Richmond BC  V7C 3C5,604-618-0277,236110,Residential building construction,General Contractor,1,1
Trimen Food Service Equipment,Commercial food service equipment sales and design,1700 No 6 Rd Unit 110 Richmond BC  V6V 1W3,604-250-7384,414220,Household appliance merchant wholesalers,Wholesale Trading,5,1
Trimleaf Co,Home based residential e-commerce garden supplies business - online,7233 Heather St Unit 16 Richmond BC  V6Y 4J8,604-535-1834,454110,Electronic shopping and mail-order houses,Home Occupation,0,2
Trimseal Plastics Ltd,Manufacturing Paper/Vinyl Products,3511 Jacombs Rd   Richmond BC  V6V 1Z8,604-278-3803,322299,All other converted paper product manufacturing,,48,0
Trina Leclair Registered Massage Therapist,Massage therapy registered,13988 Maycrest Way Unit 115 Richmond BC  V6V 3C3,604-828-5257,621499,All other out-patient care centres,Registered Massage Therapy Clinic,1,0
Trine Developments Ltd,Home Builder,6660 Sidaway Rd   Richmond BC  V6W 1H1,604-626-9050,236110,Residential building construction,General Contractor,0,1
Trinity 's Little Children Centre,"licenced group child care for 37 children (but with covid only 26 to 28 children)
30-60 months ",7100 Granville Ave   Richmond BC  V6Y 1N8,778-297-8522,624410,Child day-care services,,7,0
Trinity Driving School (2004) Limited,Driving school,2471 McLennan Ave   Richmond BC  V6X 2N6,604-278-1739,611690,All other schools and instruction,Vehicle For Hire Office,0,1
Trinity Language Centre Inc,Provide students with english language training,5900 Minoru Blvd Unit 305 Richmond BC  V6X 2A9,604-513-2191,611690,All other schools and instruction,Education Institution,5,7
Trio Automotive Inc,Online sales of turbochargers and various automotive parts,10013 River Dr Unit 2030 Richmond BC  V6X 0N2,604-250-5128,454110,Electronic shopping and mail-order houses,,4,0
Trio Bistro,Food court booth,8700 McKim Way Unit 2113 Richmond BC  V6X 4A5,778-895-6085,722512,Limited-service eating places,"Food Service Establishment, Take-Out",1,2
Triones Surveying Ltd,General Contractor - construction surveying and engineering ,5933 Cooney Rd Unit 702 Richmond BC  V6X 4H3,778-956-7261,236220,Commercial and institutional building construction,General Contractor,2,0
Triple Eagle Logistics (Vancouver) Inc,"Warehouse, storage",4871 Miller Rd Unit 1118 Richmond BC  V7B 1K8,778-851-0216,493110,General warehousing and storage,,4,2
Triple Eight Construction Co Ltd,Building Construction,8877 Odlin Cr Unit 225 Richmond BC  V6X 3Z7,604-214-8910,236110,Residential building construction,General Contractor,2,0
Triple H Services Ltd,Storage location of equipment for repairs to hydraulic components of commercial vessels,11571 Eburne Way   Richmond BC  V6V 2M1,604-277-1282,336611,Ship building and repairing,,2,1
Trips to Tales Travel Game,Home office for card game being manufactured in China,4800 Trimaran Dr Unit 19 Richmond BC  V7E 4Y7,604-788-5060,454110,Electronic shopping and mail-order houses,Home Occupation,1,0
Tristar Collision,Garage - Auto Repair,12420 Vulcan Way   Richmond BC  V6V 1J8,604-821-1133,811119,Other automotive mechanical and electrical repair and maintenance,,11,0
Troll Productions Inc,Storage and manufacture of special effects props for film industry,11280 Twigg Pl Unit 158 Richmond BC  V6V 0A6,604-325-1179,512110,Motion picture and video production,,1,4
Trove,Real Estate sales centre selling Trove Development @ 13880 Wireless Way,13880 Wireless Way Unit 116 Richmond BC  V6V 0A3,604-736-8500,531212,Offices of real estate brokers,,0,3
Troy Wotherspoon Insurance Services (Richmond) Ltd,Insurance Agency,10151 No 3 Rd Unit 109 Richmond BC  V7A 4R6,604-278-9138,524210,Insurance agencies and brokerages,,6,0
Tru-Pro Auto Medic,Auto servicing,5930 No 6 Rd Unit 316 Richmond BC  V6V 1Z1,604-231-0036,811111,General automotive repair,,1,0
Truckin' BBQ,Food truck for Richmond Night Market,8351 River Rd   Richmond BC  V6X 1Y1,604-655-7390,722330,Mobile food services,Mobile Food Vendor,2,2
True Awakening Mindsight Coaching Ltd,"Nutrition and Health Coaching (guide clients to make informed decisions on nutrition and wellness)
Personal Training (1 on 1 exercise demo and guidance)",3771 Jacombs Rd Unit 420 Richmond BC  V6V 2L9,604-818-6123,541690,Other scientific and technical consulting services,,1,0
True Blue Management Services,Building Maintenance and Management and cleaning,3268 Carscallen Rd Unit 1011 Richmond BC  V6X 0T5,778-994-1979,236110,Residential building construction,Home Occupation,1,0
True Burger,"Food and beverage concession
",3880 Grant McConachie Way   Richmond BC  V7B 0A5,604-278-2755,722512,Limited-service eating places,"Food Service Establishment, Take-Out",12,3
True Conditioning,personal trainer/ Group Fitness,3960 Chatham St Unit 200 Richmond BC  V7E 2Z5,604-762-1175,611620,Athletic instruction,Health Studio,2,4
True Conditioning,Registered massage therapy,3960 Chatham St Unit 200 Richmond BC  V7E 2Z5,604-762-1175,621499,All other out-patient care centres,Registered Massage Therapy Clinic,2,0
True Conditioning,Physiotherapy,3960 Chatham St Unit 200 Richmond BC  V7E 2Z5,604-762-1175,621340,"Offices of physical, occupational, and speech therapists and audiologists",,4,0
True Conditioning,Kinesiologist,3960 Chatham St Unit 200 Richmond BC  V7E 2Z5,604-762-1175,621340,"Offices of physical, occupational, and speech therapists and audiologists",,2,0
True Light Chinese School of Vancouver,"Education institution & child care center - to each primary school students of Chinese origin, the Chinese language after school hours  & preschool childcare",5120 Blundell Rd   Richmond BC  V7C 1H4,604-263-2133,611690,All other schools and instruction,Education Institution,0,4
